code,license_plate,engine_no,chassis_no,car_class_name,car_color_name,rental_type,branch_name,status
TY0043202,"2ขษ 5186",A25-A1030099,MR2B43HK304007997,"2.5 SPORT IMP'21 A2 (Black)","Metal Stream Metallic 1K0",SHORT,"Bangkok Branch",READY_TO_USE
TY0043179,"2ขษ 5187",3NR-5577598,MR2KC3F3601428922,"1.2 Entry IMP'21 A3","Super White II 040",SHORT,"Bangkok Branch",READY_TO_USE
TY0043168,"2ขษ 5201",A25-A0960180,MR2B43HK204005576,"2.5 SPORT IMP'21 B2 (Beige)","Graphite Metallic 4X7",SHORT,"Bangkok Branch",READY_TO_USE
TY0043195,"1ขท 4332",1GD-4868880,MR0BA3FS401112876,"2.8 Legender 4WD B1","White Pearl Crystal Black Top 2QJ",SHORT,"Bangkok Branch",READY_TO_USE
TY0043238,"2ขษ 5206",2NR-5574808,MR2B29F3X01245318,"1.5 Entry  IMP'19 A2","Silver Metallic 1D4",SHORT,"Bangkok Branch",READY_TO_USE
TY0042640,"1ขษ 183",1ZR-Y823485,MR2BK3BEX00017491,"ALTIS 1.6G IMP'21 C1","Silver Metallic 1D4",SHORT,"Bangkok Branch",READY_TO_USE
TY0043169,"2ขษ 5202",A25-A0959484,MR2B43HK304005523,"2.5 SPORT IMP'21 B2 (Beige)","Graphite Metallic 4X7",SHORT,"Bangkok Branch",READY_TO_USE
TY0042633,"1ขษ 174",1ZR-Y823507,MR2BK3BE200017498,"ALTIS 1.6G IMP'21 C1","Silver Metallic 1D4",SHORT,"Bangkok Branch",READY_TO_USE
TY0043273,"2ขษ 5205",3NR-5579949,MR2KC3F3001430343,"1.2 Entry IMP'21 A3","Silver Metallic 1D4",SHORT,"Bangkok Branch",READY_TO_USE
TY0034340,"4กช 5859",2GD-C455655,MR0JB8DD603143576,"Double Cab Prerunner 2.4 E AT A4","Silver Metallic 1D6",SHORT,"Bangkok Branch",READY_TO_USE
TY0042587,"1ขภ 7444",1ZR-Y821745,MR2BK3BE300017476,"ALTIS 1.6G IMP'21 C1","Silver Metallic 1D4",SHORT,"Bangkok Branch",READY_TO_USE
TY0043125,"ฎข 289",A25-A0966696,MR2B43HK004005706,"2.5 SPORT IMP'21 A2 (Black)","Platinum White Pearl 089",SHORT,"Bangkok Branch",READY_TO_USE
TY0043126,"ฎข 291",A25-A0965907,MR2B43HK004005723,"2.5 SPORT IMP'21 A2 (Black)","Platinum White Pearl 089",SHORT,"Bangkok Branch",READY_TO_USE
TY0043127,"ฎข 288",A25-A0963553,MR2B43HKX04005809,"2.5 SPORT IMP'21 A2 (Black)","Platinum White Pearl 089",SHORT,"Bangkok Branch",READY_TO_USE
TY0043128,"ฎข 292",A25-A0966390,MR2B43HK404006731,"2.5 SPORT IMP'21 A2 (Black)","Metal Stream Metallic 1K0",SHORT,"Bangkok Branch",READY_TO_USE
TY0043197,"1ขท 4358",1GD-4868114,MR0BA3FS601112863,"2.8 Legender 4WD B1","White Pearl Crystal Black Top 2QJ",SHORT,"Bangkok Branch",READY_TO_USE
TY0031363,"ฮภ 8939",1KD-U949753,MMKST22P005118892,"3.0 M/T (Diesel) 2014","Silver Mica Metallic 1E7",SHORT,"Bangkok Branch",READY_TO_USE
TY0042542,"1ขท 7309",3NR-5459861,MR2BC3F3X01349561,"ATIV 1.2 Sport Premium C2","Gray Metallic 1G3",SHORT,"Bangkok Branch",READY_TO_USE
TY0035986,"2ฒย 6845",2GD-4700568,MR0EB8CB300904681,"Standard Cab 2.4 J A5","Super White 040",SHORT,"Bangkok Branch",READY_TO_USE
TY0042596,"1ขภ 7881",1ZR-Y823470,MR2BK3BEX00017488,"ALTIS 1.6G IMP'21 C1","Silver Metallic 1D4",SHORT,"Bangkok Branch",READY_TO_USE
BE0031752,"6กฉ 9808",65492080056235,WDD2130046L001582,"d Exclusive (CKD)","Cavansite blue 890",SHORT,"Bangkok Branch",READY_TO_USE
TY0037075,"1นก 1154",1GD-4778273,MMKBBHCP906504354,"HI-ROOF Diesel 2.8 MT 2019 B1 (Silver)","Silver Mica Metallic 1E7",SHORT,"Bangkok Branch",READY_TO_USE
TY0043721,"3ขง 3861",2NR-X819334,MR2B29F3X01248090,"1.5 Entry  IMP'19 A2","Silver Metallic 1D4",SHORT,"Bangkok Branch",READY_TO_USE
TY0043722,"3ขง 3858",2NR-X819768,MR2B29F3X01248185,"1.5 Entry  IMP'19 A2","Silver Metallic 1D4",SHORT,"Bangkok Branch",READY_TO_USE
TY0043719,"3ขง 3867",2NR-X827685,MR2B29F3301248898,"1.5 Entry  IMP'19 A2","Silver Metallic 1D4",SHORT,"Bangkok Branch",READY_TO_USE
TY0043720,"3ขง 3862",2NR-X832520,MR2B29F3801249142,"1.5 Entry  IMP'19 A2","Silver Metallic 1D4",SHORT,"Bangkok Branch",READY_TO_USE
TY0037053,"1นก 1156",1GD-4774993,MMKBBHCP906504175,"HI-ROOF Diesel 2.8 AT 2019 B1 (Silver)","Silver Mica Metallic 1E7",SHORT,"Bangkok Branch",READY_TO_USE
TY0032632,"6กฌ 6292",2AR-H989656,JTNGF3DH008012208,"2.5 V MINOR CHANGE 2016","White Pearl Crystal 070",SHORT,"Bangkok Branch",READY_TO_USE
BE0031106,"5กธ 8862",27682430443352,WDD2221636L009022,"e Exclusive (CKD)","Iridium Silver 775",SHORT,"Bangkok Branch",READY_TO_USE
HD0033197,"6กพ 8860",K24W4-2000468,MRHCR2640HP100453,"2.4 EL Minor Change 2016","White Orchid Pearl (NH-788P)",SHORT,"Bangkok Branch",READY_TO_USE
TY0043514,"ฎข 298",A25-A1048761,MR2B43HK104008758,"2.5 SPORT IMP'21 A2 (Black)","Metal Stream Metallic 1K0",SHORT,"Bangkok Branch",READY_TO_USE
