car_id,service_type_id
9กต5733,เช่าขับเอง
33-3049,มินิโค้ช
1นก1152,รถตู้
ฮฮ6854,รถตู้
ฮฮ4950,รถตู้
ฮฮ6696,รถตู้
33-7973,รถตู้
ฮฮ4669,รถตู้
ฮฮ652,รถตู้
9กด1741,เช่าขับเอง
1นก490,รถตู้
1นก465,รถตู้
33-6216,มินิโค้ช
33-7516,มินิโค้ช
33-1800,มินิโค้ช
4กช4634,เช่าขับเอง
9กด3297,เช่าขับเอง
6กฌ5499,เช่าขับเอง
9กถ4074,เช่าขับเอง
60-1107,รถสไลด์
60-1113,รถสไลด์
60-1122,รถสไลด์
60-1123,รถสไลด์
60-1127,รถสไลด์
63-5520,รถสไลด์
64-8787,รถสไลด์
64-8788,รถสไลด์
64-8889,รถสไลด์
64-8899,รถสไลด์
64-8988,รถสไลด์
64-8989,รถสไลด์
65-2422,รถสไลด์
65-2442,รถสไลด์
65-6279,รถสไลด์
65-6280,รถสไลด์
65-6281,รถสไลด์
79-8381,รถสไลด์
60-1112,รถสไลด์
60-1117,รถสไลด์
60-1120,รถสไลด์
4กก862,เช่าขับเอง
65-6282,รถสไลด์
60-1108,รถสไลด์
3433,บัส
60-1115,รถสไลด์
60-1121,รถสไลด์
60-1116,รถสไลด์
9กธ5220,เช่าขับเอง
65-6278,รถสไลด์
60-1109,รถสไลด์
5กข5499,เช่าขับเอง
ฮฮ6200,รถตู้
1นก8295,รถตู้
9กท6380,เช่าขับเอง
1นก8294,รถตู้
ฎข281,ลิมูซีน
60-1126,รถสไลด์
ฒห2888,เช่าขับเอง
9กฮ3023,ลิมูซีน
33-3048,มินิโค้ช
6กญ2866,เช่าขับเอง
33-7972,รถตู้
ฮม2808,รถตู้
1นก484,รถตู้
ฮฮ698,รถตู้
ฮฮ659,รถตู้
5กษ562,เช่าขับเอง
ฮฮ4595,รถตู้
1นก486,รถตู้
4กน2220,เช่าขับเอง
5กข6099,เช่าขับเอง
34-1913,รถตู้
34-1912,รถตู้
34-1917,รถตู้
34-1916,รถตู้
34-1915,รถตู้
34-1914,รถตู้
34-1911,รถตู้
34-1910,รถตู้
34-1909,รถตู้
34-1908,รถตู้
34-1907,รถตู้
34-1906,รถตู้
34-1905,รถตู้
34-1904,รถตู้
34-1903,รถตู้
