branch_name,location_name,can_origin,can_stopover,can_destination
Bangkok Branch,ไอคอนสยาม,1,1,1
Bangkok Branch,ริเวอร์ซิตี้,1,1,1
Bangkok Branch,ท่ามหาราช,1,1,1
Bangkok Branch,เอเชียทีค,1,1,1
Bangkok Branch,ศาลเจ้ากวนอู,1,1,1
Bangkok Branch,ท่าวัดอรุณ,1,1,1
Bangkok Branch,วัดประยูรวงศาวาส,1,1,1
Bangkok Branch,วัดเทวราชกุญชร,1,1,1
Bangkok Branch,วัดกัลยาณมิตร,1,1,1
Bangkok Branch,ท่าสาทร,1,1,1
Bangkok Branch,ท่าโอเรียนเต็ล,1,1,1
Bangkok Branch,สะพานพระปิ่นเกล้า,1,1,1
Bangkok Branch,ท่าพระอาทิตย์,1,1,1
Bangkok Branch,สะพานพระราม 8,1,1,1
Bangkok Branch,เทเวศร์,1,1,1
Bangkok Branch,สะพานกรุงธน (ซังฮี้),1,1,1
Bangkok Branch,พระยาพาลาซโซ,1,1,1
Bangkok Branch,โรงแรมเดอะสยาม,1,1,1
Bangkok Branch,โรงแรมแมนดาริน,1,1,1
Bangkok Branch,โรงแรมเพนนินซูล่า,1,1,1
Bangkok Branch,โรงแรมมิลเลนเนียม ฮิลตัน,1,1,1
Bangkok Branch,โรงแรมแชงกรี-ลา,1,1,1
Bangkok Branch,โรงแรมอนันตรา ริเวอร์ไซด์,1,1,1
Bangkok Branch,โรงแรมอวานี,1,1,1
Bangkok Branch,โรงแรมชาเทรียม ริเวอร์ไซด์,1,1,1
Bangkok Branch,ริว่า เซอย่า,1,1,1
Bangkok Branch,ริว่า อรุณ,1,1,1
Bangkok Branch,โรงแรมรอยัล ออคิด เชอราตัน,1,1,1
Bangkok Branch,ชานบางกอกน้อย,1,1,1
Bangkok Branch,วัดพนัญเชิง,1,1,1
Bangkok Branch,วัดนิเวศน์ธรรมประวัติ (บางปะอิน),1,1,1
Bangkok Branch,บ้านตานิด,1,1,1
Bangkok Branch,วัดสิงห์,1,1,1
Bangkok Branch,สวนทิพย์,1,1,1
Bangkok Branch,โรงสี สตูดิโอ,1,1,1
Bangkok Branch,วัดกู้,1,1,1
Bangkok Branch,ท่าเรือนนทบุรี พิบูลย์ 3,1,1,1
Bangkok Branch,พื้นที่เขตชั้นใน,1,1,1
Bangkok Branch,สนามบินสุวรรณภูมิ,1,1,1
Bangkok Branch,สนามบินดอนเมือง,1,1,1
Bangkok Branch,ทรู ลีสซิ่งสาขาลาดกระบัง,1,1,1
Bangkok Branch,บางบ่อ,1,1,1
Bangkok Branch,บางพลี,1,1,1
Bangkok Branch,พระประแดง,1,1,1
Bangkok Branch,พระสมุทรเจดีย์,1,1,1
Bangkok Branch,บางเสาธง,1,1,1
Bangkok Branch,เมืองนนทบุรี,1,1,1
Bangkok Branch,เมืองปทุมธานี,1,1,1
Bangkok Branch,พระนครศรีอยุธยา,1,1,1
Bangkok Branch,เมืองอ่างทอง,1,1,1
Bangkok Branch,เมืองลพบุรี,1,1,1
Bangkok Branch,เมืองสิงห์บุรี,1,1,1
Bangkok Branch,อินทร์บุรี,1,1,1
Bangkok Branch,เมืองชัยนาท,1,1,1
Bangkok Branch,เมืองสระบุรี,1,1,1
Bangkok Branch,เมืองชลบุรี,1,1,1
Bangkok Branch,เมืองระยอง,1,1,1
Bangkok Branch,เมืองจันทบุรี,1,1,1
Bangkok Branch,เมืองตราด,1,1,1
Bangkok Branch,เมืองฉะเชิงเทรา,1,1,1
Bangkok Branch,เมืองปราจีนบุรี,1,1,1
Bangkok Branch,เมืองนครนายก,1,1,1
Bangkok Branch,เมืองสระแก้ว,1,1,1
Bangkok Branch,เขาใหญ่,1,1,1
Bangkok Branch,เมืองบุรีรัมย์,1,1,1
Bangkok Branch,เมืองสุรินทร์,1,1,1
Bangkok Branch,เมืองศรีสะเกษ,1,1,1
Bangkok Branch,เมืองอุบลราชธานี,1,1,1
Bangkok Branch,เมืองยโสธร,1,1,1
Bangkok Branch,เมืองชัยภูมิ,1,1,1
Bangkok Branch,เมืองอำนาจเจริญ,1,1,1
Bangkok Branch,เมืองบึงกาฬ,1,1,1
Bangkok Branch,เมืองหนองบัวลำภู,1,1,1
Bangkok Branch,เมืองขอนแก่น,1,1,1
Bangkok Branch,เมืองอุดรธานี,1,1,1
Bangkok Branch,เมืองเลย,1,1,1
Bangkok Branch,เมืองหนองคาย,1,1,1
Bangkok Branch,เมืองมหาสารคาม,1,1,1
Bangkok Branch,เมืองร้อยเอ็ด,1,1,1
Bangkok Branch,เมืองกาฬสินธุ์,1,1,1
Bangkok Branch,เมืองสกลนคร,1,1,1
Bangkok Branch,เมืองนครพนม,1,1,1
Bangkok Branch,เมืองมุกดาหาร,1,1,1
Bangkok Branch,เมืองเชียงใหม่,1,1,1
Bangkok Branch,สนามบินเชียงใหม่,1,1,1
Bangkok Branch,สถานีรถไฟเชียงใหม่,1,1,1
Bangkok Branch,สถานีขนส่งเชียงใหม่ (อาเขต),1,1,1
Bangkok Branch,เซ็นทรัล เฟสติวัล เชียงใหม่,1,1,1
Bangkok Branch,จอมทอง,1,1,1
Bangkok Branch,แม่แจ่ม,1,1,1
Bangkok Branch,เชียงดาว,1,1,1
Bangkok Branch,ดอยสะเก็ด,1,1,1
Bangkok Branch,แม่แตง,1,1,1
Bangkok Branch,แม่ริม,1,1,1
Bangkok Branch,สะเมิง,1,1,1
Bangkok Branch,ฝาง,1,1,1
Bangkok Branch,แม่อาย,1,1,1
Bangkok Branch,พร้าว,1,1,1
Bangkok Branch,สันป่าตอง,1,1,1
Bangkok Branch,สันกำแพง,1,1,1
Bangkok Branch,สันทราย,1,1,1
Bangkok Branch,หางดง,1,1,1
Bangkok Branch,ฮอด,1,1,1
Bangkok Branch,ดอยเต่า,1,1,1
Bangkok Branch,อมก๋อย,1,1,1
Bangkok Branch,สารภี,1,1,1
Bangkok Branch,เวียงแหง,1,1,1
Bangkok Branch,ไชยปราการ,1,1,1
Bangkok Branch,แม่วาง,1,1,1
Bangkok Branch,แม่ออน,1,1,1
Bangkok Branch,ดอยหล่อ,1,1,1
Bangkok Branch,กัลยาณิวัฒนา,1,1,1
Bangkok Branch,เมืองลำพูน,1,1,1
Bangkok Branch,เมืองลำปาง,1,1,1
Bangkok Branch,เมืองอุตรดิตถ์,1,1,1
Bangkok Branch,เมืองแพร่,1,1,1
Bangkok Branch,เมืองน่าน,1,1,1
Bangkok Branch,เมืองพะเยา,1,1,1
Bangkok Branch,เมืองเชียงราย,1,1,1
Bangkok Branch,สนามบินเชียงราย,1,1,1
Bangkok Branch,เมืองแม่ฮ่องสอน,1,1,1
Bangkok Branch,เมืองนครสวรรค์,1,1,1
Bangkok Branch,เมืองอุทัยธานี,1,1,1
Bangkok Branch,เมืองกำแพงเพชร,1,1,1
Bangkok Branch,เมืองตาก,1,1,1
Bangkok Branch,เมืองสุโขทัย,1,1,1
Bangkok Branch,เมืองพิษณุโลก,1,1,1
Bangkok Branch,เมืองพิจิตร,1,1,1
Bangkok Branch,เมืองเพชรบูรณ์,1,1,1
Bangkok Branch,เมืองราชบุรี,1,1,1
Bangkok Branch,เมืองกาญจนบุรี,1,1,1
Bangkok Branch,เมืองสุพรรณบุรี,1,1,1
Bangkok Branch,เมืองนครปฐม,1,1,1
Bangkok Branch,เมืองสมุทรสาคร,1,1,1
Bangkok Branch,เมืองสมุทรสงคราม,1,1,1
Bangkok Branch,เมืองเพชรบุรี,1,1,1
Bangkok Branch,เมืองประจวบคีรีขันธ์,1,1,1
Bangkok Branch,หัวหิน,1,1,1
Bangkok Branch,เมืองนครศรีธรรมราช,1,1,1
Bangkok Branch,เมืองกระบี่,1,1,1
Bangkok Branch,เมืองพังงา,1,1,1
Bangkok Branch,เมืองภูเก็ต,1,1,1
Bangkok Branch,กะทู้,1,1,1
Bangkok Branch,ถลาง,1,1,1
Bangkok Branch,สนามบินภูเก็ต,1,1,1
Bangkok Branch,เมืองสุราษฎร์ธานี,1,1,1
Bangkok Branch,เมืองระนอง,1,1,1
Bangkok Branch,เมืองชุมพร,1,1,1
Bangkok Branch,เมืองสงขลา,1,1,1
Bangkok Branch,เมืองสตูล,1,1,1
Bangkok Branch,เมืองตรัง,1,1,1
Bangkok Branch,เมืองพัทลุง,1,1,1
Chiang Mai Branch,พื้นที่เขตชั้นใน,1,1,1
Chiang Mai Branch,สนามบินสุวรรณภูมิ,1,1,1
Chiang Mai Branch,สนามบินดอนเมือง,1,1,1
Chiang Mai Branch,ทรู ลีสซิ่งสาขาลาดกระบัง,1,1,1
Chiang Mai Branch,บางบ่อ,1,1,1
Chiang Mai Branch,บางพลี,1,1,1
Chiang Mai Branch,พระประแดง,1,1,1
Chiang Mai Branch,พระสมุทรเจดีย์,1,1,1
Chiang Mai Branch,บางเสาธง,1,1,1
Chiang Mai Branch,เมืองนนทบุรี,1,1,1
Chiang Mai Branch,เมืองปทุมธานี,1,1,1
Chiang Mai Branch,พระนครศรีอยุธยา,1,1,1
