รวมประกันภัยชั้น 1 รวมประกันตัวผู้ขับขี่ ไม่มีค่าความเสียหายส่วนแรก รวมค่าภาษีประจำปี,
"รวมค่าใช้จ่ายในการ(Maintenance)ตามมาตรฐานของผู้ผลิตกำหนด ที่ศูนย์บริการมาตรฐาน ตามปกติของการ
ใช้รถยนต์",
หากต้องการรับบริการเกี่ยวกับยางหรือแบตเตอรี่ นอกเหนือจากศูนย์บริการมาตรฐานสามารถเข้ารับบริการได้ที่,Cockpit
,B-Quik
,A.C.T
,Tyre Plus
"เปลี่ยนยางทุก 2 ปี หรือ 50000 ก.ม.(แล้วแต่อย่างหนึ่งอย่างใดถึงก่อน) ,แบตเตอรี่ทุก 18 เดือน",
"มีรถทดแทน กรณีรถยนต์คันที่เช่าไม่สามารถใช้งานได้ตามสัญญา หรือซ่อม เกิน 24 ชั่วโมง โดยเป็นรถที่เป็นรุ่น
เดียวกันหรือเทียบเท่า",
Call Center 24 ชั่วโมง แจ้งซ่อมบำรุงและแจ้งอุบัติเหตุ เบอร์โทรศัพท์ 1279,
ส่งคืนรถก่อนหมดสัญญาเช่า,เงินคำชดเชยเป็นจำนวนร้อยละ 50 ของค่าเช่าที่เหลืออยู่ตามอายุของสัญญานี้ สำหรับกรณีบอกเลิกสัญญาในปีที่ 1
,เงินค่าชดเชยเป็นจำนวนร้อยละ 45 ของคำเช่าที่เหลืออยู่ตามอายุของสัญญานี้ สำหรับกรณีบอกเลิกสัญญาในปีที่ 2
,เงินคำาชดเชยเป็นจำนวนร้อยละ 40 ของคำเช่าที่เหลืออยู่ตามอายุของสัญญานี้ สำหรับกรณีบอกเลิกสัญญาในปีที่ 3
,เงินค่าชดเชยเป็นจำนวนร้อยละ 35 ของคำเช่าที่เหลืออยู่ตามอายุของสัญญานี้ สำหรับกรณีบอกเลิกสัญญาในปีที่ 4
,เงินค่าชดเชยเป็นจำนวนร้อยละ 30 ของคำเช่าที่เหลืออยู่ตามอายุของสัญญานี้ สำหรับกรณีบอกเลิกสัญญาในปีที่ 5
รถยนต์ทุกคันติดตั้ง GPS ติดตามรถยนต์ ซึ่งเป็นไปตามมาตรฐานของบริษัทฯ,
เครดิตการชำระค่าเช่า 30 วัน,
ยืนราคาภายใน 30 วัน,
ต้องมีการวางมัดจำค่าเช่าล่วงหน้า 3 เดือนหรือวางหลักค้ำประกัน 10% ของค่าเช่าทั้งหมดจนครบอายุสัญญา,กรุณาส่งหนังสือรับรองบริษัท อายุไม่เกิน 8 เดือน เพื่อขอให้ทางกฎหมายพิจารณาการยกเว้นการวางมัดจำล่วงหน้า
