package_name,sku,service_type_name,calculate_type,standard_price,branch_name,booking_day_mon,booking_day_tue,booking_day_wed,booking_day_thu,booking_day_fri,booking_day_sat,booking_day_sun,start_booking_time,end_booking_time,reserve_booking_duration,start_date,end_date,show_app
แพ็กเกจ​ 30 นาที,BT_bkk_30m,เรือ,1,8000.00,Bangkok Branch,1,1,1,1,1,1,1,8:00:00,16:30:00,24,1/1/2022,31/12/2024,1
แพ็กเกจ​ 1 ชั่วโมง ,BT_bkk_1h,เรือ,1,14000.00,Bangkok Branch,1,1,1,1,1,1,1,8:00:00,16:00:00,24,1/1/2022,31/12/2024,1
แพ็กเกจ​ 3 ชั่วโมง ,BT_bkk_3h,เรือ,1,23000.00,Bangkok Branch,1,1,1,1,1,1,1,8:00:00,14:00:00,24,1/1/2022,31/12/2024,1
แพ็กเกจ​ 4 ชั่วโมง ,BT_bkk_4h,เรือ,1,28000.00,Bangkok Branch,1,1,1,1,1,1,1,8:00:00,13:00:00,24,1/1/2022,31/12/2024,1
แพ็กเกจ prewedding,Bt_bkk_pwd,เรือ,1,16000.00,Bangkok Branch,1,1,1,1,1,1,1,8:00:00,16:00:00,24,1/1/2022,31/12/2024,1
แพ็กเกจชมพระอาทิตย์​ 1 ชั่วโมง ,BT_bkk_ss1h,เรือ,1,18000.00,Bangkok Branch,1,1,1,1,1,1,1,17:00:00,18:00:00,24,1/1/2022,31/12/2024,1
แพ็กเกจชมพระอาทิตย์​ 3 ชั่วโมง ,BT_bkk_ss3h,เรือ,1,24000.00,Bangkok Branch,1,1,1,1,1,1,1,17:00:00,17:00:00,24,1/1/2022,31/12/2024,1
กรุงเทพฯ -​ นนทบุรี 5 ชั่วโมง ,BT_bkk_5h,เรือ,1,32000.00,Bangkok Branch,1,1,1,1,1,1,1,8:00:00,13:00:00,24,1/1/2022,31/12/2024,1
นนทบุรี​ -​ ปทุมธานี​ 6 ชั่วโมง,BT_bkk_6h,เรือ,1,35000.00,Bangkok Branch,1,1,1,1,1,1,1,8:00:00,14:00:00,24,1/1/2022,31/12/2024,1
นนทบุรี​ -​ ปทุมธานี​ Full Day 8 ชั่วโมง​ ,BT_bkk_8h,เรือ,1,50000.00,Bangkok Branch,1,1,1,1,1,1,1,8:00:00,12:00:00,24,1/1/2022,31/12/2024,1
อยุธยา​ 1 ชั่วโมง,BT_ayt_1h,เรือ,1,14000.00,Bangkok Branch,1,1,1,1,1,1,1,8:00:00,16:00:00,24,1/1/2022,31/12/2024,1
อยุธยา​ 1 ชั่วโมง 30 นาที,BT_ayt_1h30,เรือ,1,18000.00,Bangkok Branch,1,1,1,1,1,1,1,8:00:00,16:00:00,24,1/1/2022,31/12/2024,1
อยุธยา 3 ชั่วโมง ,BT_ayt_3h,เรือ,1,23000.00,Bangkok Branch,1,1,1,1,1,1,1,8:00:00,14:00:00,24,1/1/2022,31/12/2024,1
อยุธยา 4 ชั่วโมง ,BT_ayt_4h,เรือ,1,28000.00,Bangkok Branch,1,1,1,1,1,1,1,8:00:00,13:00:00,24,1/1/2022,31/12/2024,1
Transfer,MN_transfer,มินิโค้ช,1,7500.00,Bangkok Branch,1,1,1,1,1,1,1,0:00:00,23:59:00,24,1/1/2022,31/12/2024,1
Half day,MN_halfday,มินิโค้ช,1,8500.00,Bangkok Branch,1,1,1,1,1,1,1,6:00:00,19:00:00,24,1/1/2022,31/12/2024,1
One day,MN_1dayarea1,มินิโค้ช,2,13600.00,Bangkok Branch,1,1,1,1,1,1,1,6:00:00,0:00:00,24,1/1/2022,31/12/2024,1
One day,MN_1day_area2,มินิโค้ช,2,14400.00,Bangkok Branch,1,1,1,1,1,1,1,6:00:00,0:00:00,24,1/1/2022,31/12/2024,1
One day,MN_1day_area3,มินิโค้ช,2,21600.00,Bangkok Branch,1,1,1,1,1,1,1,6:00:00,0:00:00,24,1/1/2022,31/12/2024,1
2 days 1 night,MN_2day_area1,มินิโค้ช,3,25900.00,Bangkok Branch,1,1,1,1,1,1,1,6:00:00,0:00:00,24,1/1/2022,31/12/2024,1
2 days 1 night,MN_2day_area2,มินิโค้ช,3,27400.00,Bangkok Branch,1,1,1,1,1,1,1,6:00:00,0:00:00,24,1/1/2022,31/12/2024,1
2 days 1 night,MN_2day_area3,มินิโค้ช,3,29400.00,Bangkok Branch,1,1,1,1,1,1,1,6:00:00,0:00:00,24,1/1/2022,31/12/2024,1
2 days 1 night,MN_2day_area4,มินิโค้ช,3,32900.00,Bangkok Branch,1,1,1,1,1,1,1,6:00:00,0:00:00,24,1/1/2022,31/12/2024,1
3 days 2 night,MN_3day_area1,มินิโค้ช,3,37600.00,Bangkok Branch,1,1,1,1,1,1,1,6:00:00,0:00:00,24,1/1/2022,31/12/2024,1
3 days 2 night,MN_3day_area2,มินิโค้ช,3,39800.00,Bangkok Branch,1,1,1,1,1,1,1,6:00:00,0:00:00,24,1/1/2022,31/12/2024,1
3 days 2 night,MN_3day_area3,มินิโค้ช,3,34250.00,Bangkok Branch,1,1,1,1,1,1,1,6:00:00,0:00:00,24,1/1/2022,31/12/2024,1
4 days 3 night,MN_4day_area1,มินิโค้ช,3,46300.00,Bangkok Branch,1,1,1,1,1,1,1,6:00:00,0:00:00,24,1/1/2022,31/12/2024,1
4 days 3 night,MN_4day_area2,มินิโค้ช,3,49000.00,Bangkok Branch,1,1,1,1,1,1,1,6:00:00,0:00:00,24,1/1/2022,31/12/2024,1
4 days 3 night,MN_4day_area3,มินิโค้ช,3,52200.00,Bangkok Branch,1,1,1,1,1,1,1,6:00:00,0:00:00,24,1/1/2022,31/12/2024,1
Transfer,Bus_transfer,บัส,1,6000.00,Bangkok Branch,1,1,1,1,1,1,1,0:00:00,23:59:00,24,1/1/2022,31/12/2024,1
Half day,Bus_halfday,บัส,1,7500.00,Bangkok Branch,1,1,1,1,1,1,1,6:00:00,19:00:00,24,1/1/2022,31/12/2024,1
One day,Bus_1dayarea1,บัส,2,11200.00,Bangkok Branch,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,31/12/2024,1
One day,Bus_1day_area2,บัส,2,12800.00,Bangkok Branch,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,31/12/2024,1
One day,Bus_1day_area3,บัส,2,16000.00,Bangkok Branch,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,31/12/2024,1
2 days 1 night,Bus_2day_area1,บัส,3,21300.00,Bangkok Branch,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,31/12/2024,1
2 days 1 night,Bus_2day_area2,บัส,3,24400.00,Bangkok Branch,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,31/12/2024,1
2 days 1 night,Bus_2day_area3,บัส,3,27900.00,Bangkok Branch,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,31/12/2024,1
3 days 2 night,Bus_3day_area1,บัส,3,31000.00,Bangkok Branch,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,31/12/2024,1
3 days 2 night,Bus_3day_area2,บัส,3,35400.00,Bangkok Branch,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,31/12/2024,1
3 days 2 night,Bus_3day_area3,บัส,3,39900.00,Bangkok Branch,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,31/12/2024,1
4 days 3 night,Bus_4day_area1,บัส,3,39900.00,Bangkok Branch,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,31/12/2024,1
4 days 3 night,Bus_4day_area2,บัส,3,45600.00,Bangkok Branch,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,31/12/2024,1
4 days 3 night,Bus_4day_area3,บัส,3,50600.00,Bangkok Branch,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,31/12/2024,1
