promotion_name,promotion_code,branch_name,promotion_type,discount_type,discount_mode,discount_amount,is_check_min_total,min_total,is_check_min_hours,min_hours,is_check_min_distance,min_distance,ระยะเวลาการจอง_เริ่มจอง,ระยะเวลาการจอง_สิ้นสุดการจอง,start_date,end_date,รุ่นรถ/เรือ
KCC Self-Drive Discount 20%,KSSD22,,PARTNER,PERCENT,1,20,,,,,,,1/10/2022,31/12/2022,1/10/2022,31/12/2022,
KCC Mini Coach Discount 20%,KSMN22,,PARTNER,PERCENT,1,20,,,,,,,1/10/2022,31/12/2022,1/10/2022,31/12/2022,
KCC Hacker-Craft Boat Discount 20%,KSBT22,,PARTNER,PERCENT,1,20,,,,,,,1/10/2022,31/12/2022,1/10/2022,31/12/2022,
KCC Bus Discount 20%,KSBUS22,,PARTNER,PERCENT,1,20,,,,,,,1/10/2022,31/12/2022,1/10/2022,31/12/2022,
KCC Tow Truck Discount 20%,KSTT22,,PARTNER,PERCENT,1,20,,,,,,,1/10/2022,31/12/2022,1/10/2022,31/12/2022,
SCB Self-Drive Discount 20%,SCBSD22,,PARTNER,PERCENT,1,20,,,,,,,1/10/2022,31/12/2022,1/10/2022,31/12/2022,
SCB Mini Coach Discount 20%,SCBMN22,,PARTNER,PERCENT,1,20,,,,,,,1/10/2022,31/12/2022,1/10/2022,31/12/2022,
SCB Hacker-Craft Boat Discount 20%,SCBBT22,,PARTNER,PERCENT,1,20,,,,,,,1/10/2022,31/12/2022,1/10/2022,31/12/2022,
SCB Bus Discount 20%,SCBBUS22,,PARTNER,PERCENT,1,20,,,,,,,1/10/2022,31/12/2022,1/10/2022,31/12/2022,
SCB Tow Truck Discount 20%,SCBTT22,,PARTNER,PERCENT,1,20,,,,,,,1/10/2022,31/12/2022,1/10/2022,31/12/2022,
CT1 Self-Drive Discount 20%,T1SD22,,PARTNER,PERCENT,1,20,,,,,,,1/10/2022,31/12/2022,1/10/2022,31/12/2022,
CT1 Mini Coach Discount 20%,T1MN22,,PARTNER,PERCENT,1,20,,,,,,,1/10/2022,31/12/2022,1/10/2022,31/12/2022,
CT1 Hacker-Craft Boat Discount 20%,T1BT22,,PARTNER,PERCENT,1,20,,,,,,,1/10/2022,31/12/2022,1/10/2022,31/12/2022,
CT1 Bus Discount 20%,T1BUS22,,PARTNER,PERCENT,1,20,,,,,,,1/10/2022,31/12/2022,1/10/2022,31/12/2022,
CT1 Tow Truck Discount 20%,T1TT22,,PARTNER,PERCENT,1,20,,,,,,,1/10/2022,31/12/2022,1/10/2022,31/12/2022,
BBL Self-Drive Discount 20%,BBLSD22,,PARTNER,PERCENT,1,20,,,,,,,1/10/2022,31/12/2022,1/10/2022,31/12/2022,
BBL Mini Coach Discount 20%,BBLMN22,,PARTNER,PERCENT,1,20,,,,,,,1/10/2022,31/12/2022,1/10/2022,31/12/2022,
BBL Hacker-Craft Boat Discount 20%,BBLBT22,,PARTNER,PERCENT,1,20,,,,,,,1/10/2022,31/12/2022,1/10/2022,31/12/2022,
BBL Bus Discount 20%,BBLBUS22,,PARTNER,PERCENT,1,20,,,,,,,1/10/2022,31/12/2022,1/10/2022,31/12/2022,
BBL Tow Truck Discount 20%,BBLTT22,,PARTNER,PERCENT,1,20,,,,,,,1/10/2022,31/12/2022,1/10/2022,31/12/2022,
Thai Smile Self-Drive Discount 25%,TSSD22,,PARTNER,PERCENT,1,25,,,,,,,1/10/2022,31/12/2022,1/10/2022,31/12/2022,
Thai Smile Mini Coach Discount 25%,TSMN22,,PARTNER,PERCENT,1,25,,,,,,,1/10/2022,31/12/2022,1/10/2022,31/12/2022,
Thai Smile Hacker-Craft Boat Discount 25%,TSBT22,,PARTNER,PERCENT,1,25,,,,,,,1/10/2022,31/12/2022,1/10/2022,31/12/2022,
Thai Smile Bus Discount 25%,TSBUS22,,PARTNER,PERCENT,1,25,,,,,,,1/10/2022,31/12/2022,1/10/2022,31/12/2022,
Thai Smile Tow Truck Discount 25%,TSTT22,,PARTNER,PERCENT,1,25,,,,,,,1/10/2022,31/12/2022,1/10/2022,31/12/2022,
KTC Self-Drive Discount 20%,KTCSD22,,PARTNER,PERCENT,1,20,,,,,,,1/10/2022,31/12/2022,1/10/2022,31/12/2022,
KTC Mini Coach Discount 20%,KTCMN22,,PARTNER,PERCENT,1,20,,,,,,,1/10/2022,31/12/2022,1/10/2022,31/12/2022,
KTC Hacker-Craft Boat Discount 20%,KTCBT22,,PARTNER,PERCENT,1,20,,,,,,,1/10/2022,31/12/2022,1/10/2022,31/12/2022,
KTC Bus Discount 20%,KTCBUS22,,PARTNER,PERCENT,1,20,,,,,,,1/10/2022,31/12/2022,1/10/2022,31/12/2022,
KTC Tow Truck Discount 20%,KTCTT22,,PARTNER,PERCENT,1,20,,,,,,,1/10/2022,31/12/2022,1/10/2022,31/12/2022,
B-quik All Service Discount 20%,BQ202201,,PARTNER,PERCENT,1,20,,,,,,,1/10/2022,31/12/2022,1/10/2022,31/12/2022,
TRYE PLUS Self-Drive Discount 20%,SDTP22,,PARTNER,PERCENT,1,20,,,,,,,1/10/2022,31/12/2022,1/10/2022,31/12/2022,
TRYE PLUS Mini Coach Discount 20%,MNTP22,,PARTNER,PERCENT,1,20,,,,,,,1/10/2022,31/12/2022,1/10/2022,31/12/2022,
TRYE PLUS Hacker-Craft Boat Discount 20%,BTTP22,,PARTNER,PERCENT,1,20,,,,,,,1/10/2022,31/12/2022,1/10/2022,31/12/2022,
TRYE PLUS Bus Discount 20%,BUSTP22,,PARTNER,PERCENT,1,20,,,,,,,1/10/2022,31/12/2022,1/10/2022,31/12/2022,
