อุปกรณ์ภายในรถ,ป้ายภาษี
,สำเนาทะเบียนรถ
,สำเนากรมธรรม์ประกันภัย
,คู่มือประจำรถ
,คู่มือการรับประกัน
,ยางอะไหล่/แม่แรง/เครื่องมือ
ภายในและส่วนควบคุม,สัญญาณไฟเตือนบนหน้าปัด
,การทำงานของใบปัดน้ำฝน / น้ำฉีดกระจก
,การทำงานของกระจกมองข้าง / กระจกประตู
,การทำงานของแอร์ / สวิทช์ต่างๆของแอร์
,การทำงานของที่จุดบุหรี่
,การปรับเบาะ / พนักพิง / หมอนพิง
,การทำงานของเข็มขัดนิรภัย
,ไฟสว่างในตัวรถ
,พรมปูพื้น
,ผ้ายางรองพื้น
ภายนอก และห้องเครื่อง,ป้ายทะเบียนรถยนต์ (ป้ายเหล็ก)
,การเปิด-ปิด ประตูรถ/ฝากระโปรงรถ/ฝาปิดท้ายรถ
,แบตเตอรี่
,ระบบเครื่องยนต์ / ระบบไฟฟ้า
,หม้อน้ำและถังพักน้ำ
,น้ำมันเครื่อง
,น้ำมันเบรค
,ระบบไฟ/สัญญาณ
,ล้ออะไหล่ 1 เส้น
,ยางหน้าหลัง 4 เส้น
,ลมยาง/สภาพดอกยางทั้ง 5 เส้น
ความสะอาด,ความสะอาดภายนอกรอบคัน
,ความสะอาดภายในห้องโดยสาร
,ความสะอาดของเบาะที่นั่ง
,ไม่มีกลินเหม็นภายในรถ
