เทรเลอร์ / Trailer,กว้านเรือ/สายรัดนิรภัย/โซ่ Boat winch/safety strap/chain
,วงล้อ ยาง Wheel rims/ tires
เรือ / Boat,ใบพัด/หางเสือ เพลาขับ Propeller/rudder/drive shaft
,แพลตฟอร์มว่ายน้ำ Swim Platform
,ผ้าคลุมเรือ Mooring Cover (สีดำและสีน้ำตาล)
,สีตัวเรือ: เส้น/ตัวเรือ Waterline/Bottom Paint & Hull
,ตัวเรือ/ข้างเรือ Hull/side of the boat
,ด้านบนของเรือ Deck of the boat
,แผงควบคุม พื้น Dashboard/Floor(s)
Cockpit,ฮาร์ดแวร์: โครเมียม สแตนเลส Hardware: Chrome/ Stainless (มีสนิมหรือไม่?)
,ที่นั่ง แผงหน้าปัด แผ่นรองกันกระแทก Seats/panels/ crash pads
,แผ่นรองพื้นไวนิล Vinyl step pads
,ผ้าไวนิลกันแดด Sun bath pad
,ธงชาติไทย Thai flag
,ธงทรูคอร์ป True flag
หลังคาบิมินิ/Bimini top,Ball & Joint Hardware / ฮาร์ดแวร์ลูกและข้อต่อ เช็คสนิม
,Frame / โครง
,Fabric Cover / ผ้าบิมินิ
Inspect for wood rot / ตรวจสอบไม้ผุ,เรือมีรอยรั่วหรือไม่ Does the boat have a leak?
,ไม้เน่า Wood Rot?
,ทำให้ท้องเรือแห้ง Dry the boats bilge (หน้า กลาง หลัง)
ห้องเครื่อง / Engine Room,ตรวจสอบเครื่องยนต์และระบบขับเคลื่อน Inspect Engine & Drive System
,ตรวจสอบส่วนประกอบในห้องเครื่องยนต์ Inspect components in Engine Room
,เช็คพื้นห้องเครื่อง Inspect Engine room floor
แผงหน้าปัทม์ควบคุม / Instrument Panel,ไฟที่แผงหน้าปัทม์ Instrument panel lights
,ไฟเตือนสำหรับเครื่องเป่าลมและปั๊มน้ำท้องเรือ Indicator (green) lights - bilge/blower
,สวิตช์ปั๊มน้ำท้องเรือและคันโยกลอย Bilge Pump: Switch and float switch
,โบลเวอร์และสวิตช์ Blower motor & switch
,ไฟห้องโดยสาร Lights: Cockpit floor light
,สวิตช์อุปกรณ์เสริม Accessory (ACC) switch
,การทำงานของเครื่องตรวจวัดความลึก Depth Sounder operations
,ไฟใต้น้ำ Underwater lights
อุปกรณ์ไฟฟ้า / Electrical Accessories,ไฟนำทาง Bow navigation lights (i.e. red & green)
,ไฟธงท้ายเรือ Stern flag light
,ไฟสปอตไลท์ Spot light: Light blue
,การทำงานของไฟสปอตไลท์ Spot light: Operation
,การทำงานของแตรลม Air horn: Operation
,เครื่องอัดอากาศ(ปั๊มลม)และกักอากาศ Air horn: Air compressor - Dry & holds air
,ระบบวิทยุ Radio system
,ตู้เย็น Refrigerator
อุปกรณ์ออนบอร์ด / Onboard Equipment,สภาพเสื้อชูชีพ Life jacket
,สภาพผ้าบุและเชือก Fender Buoys/Buoy covers & rope
,เชือกเรือ Dockline
,ตะขอเกี่ยวเชือก Boat Hook
,สภาพไม้พาย Oar/Paddle
,สำเนาเอกสารเรือและใบขับขี่เป็นปัจจุบันหรือไม่? Boat documents & License(s)
,การทำงานของไฟฉายและแบตเตอรี่ Flash Light & Batteries operation
,เครื่องมือในกล่องเครื่องมือ Tool Box:
