กุญแจ,กุญแจรถยนต์ธรรมดา
,กุญแจรถยนต์ Immobilizer รีโมทในตัว
,กุญแจรถยนต์ Immobilizer
,กุญแจรถยนต์ รีโมทในตัว
,รีโมท
,กุญแจประตู
,กุญแจฝาปิดท้าย
,กุญแจล็อคยางอะไหล่
,กุญแจล็อคเกียร์ / 3LOCK
"ตรวจสภาพภายนอก และเครื่องยนต์				",ป้ายทะเบียนรถยนต์ (ป้ายเหล็ก)
,สติกเกอร์บริษัท
,หลังคาไฟเบอร์
,ตัวถัง / กระจก / ใบปัดน้ำฝน
,ระบบไฟส่องสว่าง
,ระบบไฟ/สัญญาณ
,เสาวิทยุ
,ยางกันโคลน
,ฝาครอบล้อ
,ล้อแม็กอัลลอยด์
,ล้ออะไหล่ 1 เส้น
,ยางหน้าหลัง 4 เส้น
,ลมยาง/สภาพดอกยางทั้ง 5 เส้น
,การเปิด-ปิด ประตูรถ/ฝากระโปรงรถ/ฝาปิดท้ายรถ
สภาพห้องเครื่องยนต์,แบตเตอรี่
,เครื่องยนต์
,ระดับน้ำในหม้อน้ำ/หม้อพักน้ำ
,ระดับน้ำมันเครื่อง
,สภาพสายพานเครื่อง
,ระดับน้ำมันเบรค
,ระดับน้ำมันคลัทช์
,สภาพกรองอากาศ
ตรวจที่ห้องเครื่องยนต์ (เครื่องยนต์ทำงาน),เสียงเครื่องยนต์
,ระดับน้ำมันพวงมาลัยพาวเวอร์
,ระดับน้ำมันเกียร์อัตโนมัติ
,น้ำยาแอร์/การทำงานของคอมแอร์
,การรั่วของน้ำที่ท่อน้ำ/หม้อน้ำ
,การรั่วของน้ำมันเชื้อเพลิง/ท่อน้ำมันเชื้อเพลิง
,การทำงานของพัดลมไฟฟ้า
ตรวจอุปกรณ์ประจำรถ,ป้ายภาษี
,สำเนาทะเบียนรถ
,สำเนากรมธรรม์ประกันภัย
,คู่มือการใช้รถ
,Warranty Plus Card
,คู่มือการรับประกันคุณภาพและบำรุงรักษารถ
,แม่แรง
,มือหมุนแม่แรง
,ประแจขันล้อ
,ประแจปากตาย
,ล็อคเกียร์/3LOCK/ล็อคพวงมาลัย
,ไขควง
,คีมเลื่อนคอ
,บล็อกหัวเทียน
,ขอเกี่ยวลากรถ
,เหล็กหมุนยาง
,เหล็กพาดบันได
,ทรัพย์สินอื่นๆภายในรถ
ตรวจภายในห้องโดยสาร,การทำงานของใบปัดน้ำฝน/น้ำฉีดกระจก
,การล็อคคอพวงมาลัย/ปรับระดับพวงมาลัย
,สัญญาณไฟเตือนบนหน้าปัด
,การทำงานของกระจกมองข้าง / กระจกประตู
,การทำงานของแตร/นาฬิกา
,GPS
,การทำงานของแอร์/สวิทช์ต่างๆของแอร์
,การทำงานของวิทยุ/DVD/MP3/CD
,การทำงานของที่จุดบุหรี่
,ระยะเบรคมือ
,รอบเดินเบาจากมาตรวัด
,สภาพฟิล์มกรองแสง
,เบาะหน้า
,เบาะแค็ป / เบาะหลัง
,การปรับเบาะ / พนักพิง / หมอนพิง
,การทำงานของเข็มขัดนิรภัย
,กระจกในเก๋ง
,กระจกมองข้าง
,กระจกมองหลัง
,ไฟสว่างในตัวรถ
,พรมปูพื้น
,ยางรองพื้น
ความสะอาด,ความสะอาดภายนอกรอบคัน
,ความสะอาดภายในห้องโดยสาร
,ความสะอาดของเบาะที่นั่ง
