เครื่องมือและอุปกรณ์,แม่แรง
,มือหมุนแม่แรง
,ประแจขันล้อ
,ประแจปากตาย
,ขอเกี่ยวรถ
,ไขควง
,คีมเลื่อนคอ
,สามเหลี่ยมหนุนล้อ
,สามเหลี่ยนสะท้อนแสง
,ชุดปั้มเติม/น้ำยาเติมลม
,กล้องหน้ารถ
,รีโมทวิทยุ
,ร่มกันแดด
,เข็มขัดนิรภัย
,ที่จุดบุหรี่
,ยางรองพื้น/พรม
,ฝาครอบล้อ/ดุม
,ล้อแม็กซ์/เหล็ก
,ยางกันโคลน
,ยางติดรถ ยี่ห้อ คู่หน้า
,กระจกในเก๋ง
,กระจกข้าง
,ไฟสว่างในตัวรถ
,วิทยุ-CD-TV
,ลำโพง
,เบาะหน้า
,เบาะแคป
,เบาะหลัง
,เหล็กพาดบันได
,แบตเตอรี่
,สมุดคู่มือ/สมุดประกัน
,สำเนาตารางกรมธรรม์ พ.ร.บ.
,ป้ายกำกับภาษี/สำเนาทะเบียน
,ป้ายทะเบียนรถยนต์ (ป้ายเหล็ก)
,ล็อคพวงมาลัย/ เกียร์/ คลัทซ์ 3 LOCK
ความสะอาด,ความสะอาดเบาะ
,ความสะอาดภายใน
,สภาพยาง
