INTERIOR &CONTROLS ภายในและส่วนควบคุม,Tax Registeration ป้ายภาษี
,Copy of Registeration สำเนาทะเบียนรถ
,Copy of Insurance สำเนากรมธรรม์ประกันภัย
,Manual Book คู่มือประจำรถ
,Warranty Book คู่มือการรับประกัน
,Air Conditioning System ระบบปรับอากาศ
,No Car Odor ไม่มีกลิ่นเหม็นภายในรถ
,Clean Interior ความสะอาดภายในรถ
,CD / Radio วิทยุ / ซีตี
,Cigarette Lighter ที่จุดบุหรี่
,Floor Mat ผ้ายางปูพื้น
,Carpets wรม
,Spare Tire / Jack / Tools ยางอะใหล่ / แม่แรง / เครื่องมือ
UNDER HOOD ห้องเครื่อง,Battery แบตเตอรี่
,Engine Oil น้ำมันเครื่อง
,Brake Fluid น้ำมันเบรก
,Radiator & Windscreen Water หม้อน้ำและถังพักน้ำฉีดกระจก
TIRE ยาง,Bridgestone
,Goodyear
,BF Goodrich
,Maxxis
,Continental
,Michelin
,Dunlop
,Yokohama
,Firestone
,Year
,Size
,Others
EXTERIOR ภายนอก,Washed Exterior ความสะอาดภายนอก
,Lighting System ระบบไฟ
,Two Registration Plates ป้ายทะเบียน
,Tire / Air Pressure ยาง / ลมยาง
,Windscreen Wiper ที่ปัดน้ำฝน
GASOLINE น้ำมัน,Diesel
,Diesel Premium
,Gasohol 91
,Gasohol 95
,Gasohol E20
,Gasohol E85
ACCESSORIES บริการเสริม,Child Seat เบาะสำหรับเด็ก
,GPS ระบบนำทาง
,Pocket Wi-Fi ไวไฟเคลื่อนที่
,Others
สภาพรถ, D = Dent ครูด/บุบ
, C = Crack แตก/ร้าว
, S = Scrath รอยขีดข่วน
, No scrath/Crack / Dent ไม่มีรอยขีดข่วน / แตก /ร้าว/ครูด /บุบ
