ลำดับ,Role_Name,Permission,เมนู
1,พนักงานฝ่าย AMO / ฝ่าย Sale & admin,view_short_term_rental,งานเช่าระยะสั้น
2,พนักงานฝ่าย AMO / ฝ่าย Sale & admin,manage_short_term_rental,งานเช่าระยะสั้น
3,พนักงานฝ่าย AMO / ฝ่าย Sale & admin,view_quotation,ใบเสนอราคา
4,พนักงานฝ่าย AMO / ฝ่าย Sale & admin,manage_quotation,ใบเสนอราคา
5,พนักงานฝ่าย AMO / ฝ่าย Sale & admin,view_operation,งาน Operation
6,พนักงานฝ่าย AMO / ฝ่าย Sale & admin,manage_operation,งาน Operation
7,พนักงานฝ่าย AMO / ฝ่าย Sale & admin,view_receipt,ใบเสร็จรับเงิน
8,พนักงานฝ่าย AMO / ฝ่าย Sale & admin,view_driving_job,งานขับรถทั้งหมด
9,พนักงานฝ่าย AMO / ฝ่าย Sale & admin,view_request_change_register,ขอเปลี่ยนแปลงข้อมูลทะเบียน
10,พนักงานฝ่าย AMO / ฝ่าย Sale & admin,manage_request_change_register,ขอเปลี่ยนแปลงข้อมูลทะเบียน
11,พนักงานฝ่าย AMO / ฝ่าย Sale & admin,view_car_inspection,งานตรวจรถทั้งหมด
12,พนักงานฝ่าย AMO / ฝ่าย Sale & admin,manage_car_inspection,งานตรวจรถทั้งหมด
13,พนักงานฝ่าย AMO / ฝ่าย Sale & admin,view_short_term_condition_quotation,เงื่อนไขใบเสนอราคางานเช่าสั้น
14,พนักงานฝ่าย AMO / ฝ่าย Sale & admin,manage_short_term_condition_quotation,เงื่อนไขใบเสนอราคางานเช่าสั้น
15,พนักงานฝ่าย AMO / ฝ่าย Long –Term Affiliates Rental,view_long_term_rental,งานเช่าระยะยาว
16,พนักงานฝ่าย AMO / ฝ่าย Long –Term Affiliates Rental,manage_long_term_rental,งานเช่าระยะยาว
17,พนักงานฝ่าย AMO / ฝ่าย Long –Term Affiliates Rental,view_long_term_rental_spec_check_car,เช็กรถ
18,พนักงานฝ่าย AMO / ฝ่าย Long –Term Affiliates Rental,manage_long_term_rental_spec_check_car,เช็กรถ
19,พนักงานฝ่าย AMO / ฝ่าย Long –Term Affiliates Rental,view_long_term_rental_compare_price,เปรียบเทียบราคา
20,พนักงานฝ่าย AMO / ฝ่าย Long –Term Affiliates Rental,manage_long_term_rental_compare_price,เปรียบเทียบราคา
21,พนักงานฝ่าย AMO / ฝ่าย Long –Term Affiliates Rental,view_long_term_rental_quotation,จัดทำราคาเช่าระยะยาว
