"id","BrandName","ShortName","Active"
41,HONDA,HD,1
42,LAND ROVER,LA,1
43,VOLVO,V,1
44,RANGE ROVER,RA,1
45,MITSUBISHI,MB,1
46,VOLKSWAGEN,VS,1
47,ISUZU,IS,1
48,KIA,KI,1
49,GMC,GM,1
50,BMW,BM,1
51,TOYOTA,TY,1
52,NISSAN,NI,1
53,JAGUAR,JG,1
54,รถพ่วง,,1
55,HINO,HI,1
56,MERCEDES BENZ,BE,1
57,LEXUS,LE,1
58,SAAB,SA,1
59,RANGE ROVER ,,0
60,AUDI,AU,1
61,CHEVROLET,CH,1
62,DAIHATSU,DA,1
63,FORD,FR,1
64,HYUNDAI,HY,1
65,KAWASAKI,KA,1
66,MAZDA,MD,1
67,PEUGEOT,PE,1
68,PIAJIO,PI,1
69,HUMMER,HM,1
70,CARYBOY,CB,1
71,MASERATI,M,1
72,JEEP,J,1
73,MG,MG,1
74,MAXUS,MU,1
75,YAMAHA,Y,1
76,Hacker,HK,1
77,รถกึ่งพ่วง,C,1
78,LOHR,L,1
79,เรือ,B.,1
80,FOTON,FT,1
81,PORSCHE,PO,1
82,Ferrari,F,1
83,Lamborghini,LB,1
