"id","ClassCode","ClassIndex","Class","FullClass","Detail","TypeID","EngineSize","ClassYear","Gear","Drive","SeatPad","SideGlass","AirBag","CentalLock","FrontBrake","RearBrake","ABS","Protect","OilSize","OilType","BattID","TireID","RainID","DWidth","DLong","DHeight","Price","Pic1","Pic2","Pic3","Pic4","Comment","RateTrip","sDay","sWeek","sMonth","l12","l24","l36","l48","l60","sDay1","sWeek1","sMonth1","L121","L241","L361","L481","L601","sDay2","sWeek2","sMonth2","L122","L242","L362","L482","L602","CarSalePriceStandard","LastSalePrice","LastSaleDate","LastSaleRef","Active","safety","commentCar","carPrice","discountCarPrice","remainCarPrice","priceYear1","priceYear2","priceYear3","RankingRate"
1,"000-1-I",1,KOMPRESSOR EL,BENZ E 200 KOMPRESSOR EL,KOMPRESSOR EL,1,"0.0000",2000,1000,1100,1200,1300,1400,1500,1600,1600,1700,1800,"0.0000",,0,0,0,0,0,0,"0.0000",,,,,,"0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1130000.0000",2014-10-02 00:00:00.000,ฌข 3348,1,,,"0.0000","0.0000","0.0000","0.0000","0.0000","0.0000",50
2,"000-2-I",2,CDI (EL) CKD,BENZ E 220 CDI (EL) CKD,CDI (EL) CKD,2,"0.0000",2000,1000,1100,1200,1300,1400,1500,1600,1600,1700,1800,"0.0000",,0,0,0,0,0,0,"0.0000",,,,,,"0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1690000.0000",2011-08-10 00:00:00.000,สฮ 1470,1,,,"0.0000","0.0000","0.0000","0.0000","0.0000","0.0000",50
3,"000-3-I",3,CDI AVANTGARDE,BENZ E 220 CDI AVANTGARDE MODEL 07,CDI AVANTGARDE,2,"2149.0000",2007,28,31,4992852,256,0,24,69,12,0,0,"0.0000","",0,0,0,0,0,0,"0.0000","","","","","","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1650000.0000",2013-09-25 00:00:00.000,ชฟ 15,1,"","","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000",50
4,"000-4-I",4,CDI ELEGANCE,MERCEDES BENZ E 220 CDI ELEGANCE,CDI ELEGANCE,2,"2148.0000",2000,119,14009035,839778345,24,0,7497082,436207796,3552108,32,4992852,"0.0000",ดีเซล,0,0,0,0,0,0,"0.0000","","","","","","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1700000.0000",2012-03-14 00:00:00.000,ศต 898,1,"","","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000",50
5,"000-5-I",5,S 280,BENZ S 280 S 280,S 280,3,"0.0000",2000,1000,1100,1200,1300,1400,1500,1600,1600,1700,1800,"0.0000",,0,0,0,0,0,0,"0.0000",,,,,,"0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1860000.0000",2009-02-19 00:00:00.000,วจ 7389,1,,,"0.0000","0.0000","0.0000","0.0000","0.0000","0.0000",100
6,"000-6-I",6,L,BENZ S 280L L,L,4,"0.0000",2000,1000,1100,1200,1300,1400,1500,1600,1600,1700,1800,"0.0000",,0,0,0,0,0,0,"0.0000",,,,,,"0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2220000.0000",2010-02-09 00:00:00.000,ษจ 3529,1,,,"0.0000","0.0000","0.0000","0.0000","0.0000","0.0000",100
7,"000-7-I",7,CDI LONG WHEELBASE,BENZ S 320 CDI LONG WHEELBASE,"",5,"2987.0000",2008,28,31,32,34,52,79,36,38,46,68,"90.0000",ดีเซล,0,0,0,0,0,0,"0.0000","","","","","","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000",,,1,"","","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000",100
8,"000-8-I",8,"2.5",BMW X3 2.5,X3,6,"2500.0000",2000,2706472,0,32,41,41,48,3684439,13822393,41,14203600,"0.0000","",0,0,0,0,0,0,"0.0000","","","","","","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1300000.0000",2012-05-16 00:00:00.000,ญฎ 4123,1,"","","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000",50
9,"000-9-I",9,X5,BMW X5 X5,X5,7,"3000.0000",2006,24,0,76,24,12,48,3159660,84,72,49,"0.0000","",0,0,0,0,0,0,"0.0000","","","","","","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1836000.0000",2008-08-28 00:00:00.000,วว 6399,1,"","","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000",50
10,"000-10-I",10,EXPRESS VAN,GMC EXPRESS VAN EXPRESS VAN,EXPRESS VAN,8,"0.0000",2000,1000,1100,1200,1300,1400,1500,1600,1600,1700,1800,"0.0000",,0,0,0,0,0,0,"0.0000",,,,,,"0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","580000.0000",2013-02-27 00:00:00.000,อห 5920,1,,,"0.0000","0.0000","0.0000","0.0000","0.0000","0.0000",50
11,"000-11-I",11,WU301R,HINO DUTRO WU301R,WU301R,9,"0.0000",2000,1000,1100,1200,1300,1400,1500,1600,1600,1700,1800,"0.0000",,0,0,0,0,0,0,"0.0000",,,,,,"0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","416000.0000",2012-03-31 00:00:00.000,"77 1384",1,,,"0.0000","0.0000","0.0000","0.0000","0.0000","0.0000",50
12,"000-12-I",12,EL I-VTEC,HONDA ACCORD EL I-VTEC,EL I-VTEC,10,"2400.0000",2000,6912069,32,12,20,27753,84,28,0,48,51216400,"0.0000","",0,0,0,0,0,0,"0.0000","","","","","","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","962000.0000",2011-11-02 00:00:00.000,ชฮ 6243,1,"","","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000",50
