"ID","Code","CarOption","Version","Price","Sup_ID","Supplier","Address","Tel","Fax","Active","AssetGroupCode"
109,"00109",หลังคาทรงเตี้ย,แคป ( ซีรีย์ 8 ),"18600.0000",1958,บริษัท แครี่บอย มาร์เก็ตติ้ง จำกัด (สาขา 8 ),"555 ถนนหลวงแพ่ง แขวงทับยาว เขตลาดกระบัง กรุงเทพฯ 10520","02-364-8555","02-364-8551",1,"0"
110,"00110",หลังคาทรงสูง,ช่วงยาว,"18700.0000",1958,บริษัท แครี่บอย มาร์เก็ตติ้ง จำกัด (สาขา 8 ),"555 ถนนหลวงแพ่ง แขวงทับยาว เขตลาดกระบัง กรุงเทพฯ 10520","02-364-8555","02-364-8551",1,"0"
111,"00111",ติดตั้งระบบ GPS ระบบ 2G,"","15000.0000",4,,"475 ซ.จัดสรรเอื้อวัฒนสกุล แขวงสวนหลวง เขตสวนหลวง กรุงเทพฯ 10250","02-320-3172","02-320-3171",1,"0"
112,"00112","3 LOCK  ( เกียร์ออโต้)","545","2250.0000",0,,สาขา 4 383/1 ซอยศูนย์วิจัย แขวงบางกระปิ เขตห้วยขวาง กรุงเทพ 10310,"02-319-4306","02-318-1334",1,"0"
113,"00113",ล็อคยางอะไหล่ใต้ท้อง,SOLEX VS,"560.7500",1653,บริษัท แครี่บอย มาร์เก็ตติ้ง จำกัด,สาขา 4 383/1 ซอยศูนย์วิจัย แขวงบางกระปิ เขตห้วยขวาง กรุงเทพ 10310,"02-319-4306","02-318-1334",1,"0"
114,"00114",ล็อคยางอะไหล่ในกะบะ(SMM),TMV(ขาว 040),"800.0000",1688,บริษัท สามมิตรมอเตอร์สแมนูแฟคเจอริ่ง จำกัด,"39 หมู่ 12 ตำบลอ้อมน้อย อำเภอกระทุ่มแบน จังหวัดสมุทรสาคร 74130","0-2413-1520","0-2413-1522",1,"0"
115,"00115",ฟิล์มกรองแสง,"3M ( ธรรมดา )","0.0000",0,,"","","",1,"0"
116,"00116",กันชนท้าย (CB ),"919","747.6600",1653,บริษัท แครี่บอย มาร์เก็ตติ้ง จำกัด,สาขา 4 383/1 ซอยศูนย์วิจัย แขวงบางกระปิ เขตห้วยขวาง กรุงเทพ 10310,"02-319-4306","02-318-1334",1,"0"
117,"00117",ตาข่าย3ด้าน,"","2500.0000",1688,บริษัท สามมิตรมอเตอร์สแมนูแฟคเจอริ่ง จำกัด,"39 หมู่ 12 ตำบลอ้อมน้อย อำเภอกระทุ่มแบน จังหวัดสมุทรสาคร 74130","0-2413-1520","0-2413-1522",1,"0"
118,"00118",ที่วางบันได,รถกระบะ,"1500.0000",1688,บริษัท สามมิตรมอเตอร์สแมนูแฟคเจอริ่ง จำกัด,"39 หมู่ 12 ตำบลอ้อมน้อย อำเภอกระทุ่มแบน จังหวัดสมุทรสาคร 74130","0-2413-1520","0-2413-1522",1,"0"
119,"00119",ผ้าม่านรางคู่(รอบคัน),"","5500.0000",1682,บริษัท ซันด้าอินดัสตรี จำกัด,"48/21 หมู่1 ถนนบางขุนเทียน-ชายทะเล แขวงแสมดำ เขตบางขุนเทียน กรุงเทพ",-,"0-2892-1056",1,"0"
120,"00120",โลบาร์,"","0.0000",0,,"","","",1,"0"
121,"00121",โครงหลังคาอลูมิเนียมตาข่าย,"( ช่วงยาว,แคป )","19158.8800",1683,บริษัท เอ็ม เค ซี มงคลชัย บอดี้ จำกัด,"1433 ซอยอ่อนนุช ถนนสุขุมวิท แขวงสวนหลวง เขตสวนหลวง กรุงเทพ 10250","0-2311-6002","0-2331-9156",1,"0"
122,"00122",ตู้แห้งบรรทุกสินค้า(ไฟเบอร์กลาส)+ลู่ลม,MOVING TOWN,"91500.0000",1821,บริษัท โปนิว่า จำกัด,"413/3 หมู่ 1 ซอยราษฎร์บูรณะ 40 แขวงราษฎร์บูรณะ เขตราษฎร์บูรณะ จังหวัดกรุงเทพฯ 10140","02-816-8625-7","02-840-9419",1,"0"
