"CPT_ID","CPT_Name","CPT_Type"
28,Auto,1201
29,ขับเคลื่อน 4 ล้อ,1202
30,ขับเคลื่อน 2 ล้อหลัง,1202
31,ขับเคลื่อน 2 ล้อหน้า,1202
32,เบาะหนังแท้,1203
33,เบาะหนังเทียม,1203
34,ไฟฟ้า,1204
35,ปรับด้วยมือ,1204
36,ดิสก์เบรกหน้า,1207
37,ดรัม,1208
38,ดิสก์เบรกหลัง,1208
39,Immobilizer,1210
40,Shit lock,1210
41,ถุงลมคู่หน้า,1205
42,i-Side Airbags ถุงลมด้านข้างอัจฉริยะ,1205
43,กำมะหยี,1203
44,มี,1206
45,ไม่มี,1206
46,มี,1209
47,เบาะผ้า,1203
48,Immobilizer/Shit lock,1210
49,Immobilizer/TDS(Theft Deterrent System)/Shit lock,1210
50,Immobilizer/ระบบสัญญาณกันขโมย/Shit lock,1210
51,ระบบสัญญาณกันขโมย/Immobilizer,1210
52,รอบคัน 10 จุด,1205
53,ถุงลมคู่หน้าและด้านหลังผู้โดยสารด้านซ้ายและขวา,1205
54,ถุงลมคู่หน้า/ด้านข้างหน้าซ้ายและขวา,1205
55,TDS/Shit lock,1210
56,TDS/Immobilizer,1210
57,ถุงลมเฉพาะคนขับ,1205
58,ระบบกันขโมยพร้อมจับการเต้นของหัวใจ/Immobilizer,1210
59,สัญญาณกันขโมย,1210
60,เบาะหนัง/สีเบจ,1203
61,เบาะผ้า/สีเบจ,1203
62,เบาะผ้า/สีเทา,1203
63,เบาะผ้า/สีดำ,1203
64,เบาะหนัง/สีดำ,1203
65,เบาะหนัง/สีเทา,1203
66,หนังแท้ และหนังสังเคราะห์(คู่หน้าปรับด้วยไฟฟ้า),1203
67,TDS(Theft Deterrent System),1210
68,ตรวจจับความเคลื่อนไหวภายในรถ,1210
69,เปลี่ยนรหัสกุญแจอัตโนมัติ,1210
70,หนัง และหนังสังเคราะห์(สีดำสลับเทา),1203
71,แบบแยก/กึ่งกำมะหยี่/สีเทา,1203
72,แบบแยก 60:40 สำหรับ 3 คน/ไวนิล/สีเทา,1203
73,ไม่มี,1205
74,ไม่มี,1209
75,ไม่มี,1210
76,แบบแยก/กำมะหยี่/สีครีม,1203
77,TDS(Theft Deterrent System)พร้อมกุญแจlmmobilizer,1210
78,แบบแยก/กำมะหยี่/สีเทา,1203
79,มี/กุญแจรีโมท,1206
80,แบบแยกหนังแท้/สังเคราะห์/สีครีม/ปรับไฟฟ้าเบาะคนขับ,1203
81,ขับเคลื่อน 4 ล้อ Full-Time,1202
82,ขับเคลื่อน 4 ล้อ Real Time,1202
83,สัญญาณกันขโมย TVSS,1210
84,หนังแท้ และวัสดุหนังสังเคราะห์,1203
85,ถุงลมนิรภัย 9 จุด,1205
86,หนังแบบ Perforated,1203
87,กุญแจ SMART KEY,1210
88,ถุงลมนิรภัย 8 จุด,1205
89,ระบบ Smart Entry ที่ประตูคู่หน้า,1210
90,ระบบสัญญาณกันขโมย,1210
91,ถุงลมนิรภัย 8 ใบ 10 จุด,1205
92,ปรับไฟฟ้า8ทิศทาง(คู่หน้า) พร้อมปุ่มปรับเบาะดันหลัง,1203
94,มี /Smart Entry/Push Start/พร้อมสัญญาณกันขโมย,1206
95,ถุงลมคู่หน้าDual i-SRSด้านข้างคู่หน้าi-SideAirbag ,1205
96,หนังและหนังสังเคราะห์สีดำ คู่หน้าปรับด้วยไฟฟ้า8ทาง,1203
97,เบาะผ้า สีดำ/น้ำเงิน,1203
98,ไฮดรอลิคประกอบด้วยก้ามเบรก แบบตัวนำคู่ กระทำทุกล้อ,1208
99,ไฮดรอลิคประกอบด้วยก้ามเบรก แบบตัวนำคู่ กระทำทุกล้อ,1207
100,"3 ที่นั่ง ทำจากวัสดุไวนิล ",1203
