"id","BrandID","TypeCode","CarType","CateID","GroupCar","Active"
1,56,"001",E 200,37,2,1
2,56,W211,E 220,37,2,1
3,56,"003",S 280,32,2,1
4,56,M1,S 280L,32,2,1
5,56,M2,S 320,32,2,1
6,50,B1,X3,32,2,1
7,50,B2,X5,32,2,1
8,49,EX,EXPRESS VAN,40,4,1
9,55,DU,DUTRO,34,0,1
10,41,"011",ACCORD,37,2,1
11,41,H1,CIVIC,43,2,1
12,41,H2,CR-V,37,2,1
13,47,NKR,NKR55E12,34,3,1
14,47,NK,NKR55EX1,34,3,1
15,47,TRI,TRIPPER,40,3,1
16,53,DA,DAIMLER,37,2,1
17,53,XJ,XJ,37,2,1
18,48,KIA,K2700,34,3,1
19,42,DIS,DISCOVERY,40,3,1
20,57,LS,LS,37,2,1
21,57,RX1,"300",37,2,1
22,45,"010",SPACE WAGON,37,2,1
23,52,N1,TEANA,37,2,1
24,44,RA,SPORT TDV,40,3,1
25,51,AP,ALPHARD,37,4,1
26,51,"004",ALTIS,37,2,1
27,51,AV,AVANZA,40,2,1
28,51,"005",CAMRY,37,2,1
29,51,"002",COMMUTER  FIRST CLASS,38,4,1
30,51,ES,ESTIMA,40,4,1
31,51,"001",FORTUNER,37,2,1
32,51,GA,GRAND WAGON,40,4,1
33,51,HA,HARRIER,40,4,1
34,51,HI1,HIACE,39,4,1
35,51,"003",HILUX VIGO,34,3,1
36,51,"013",INNOVA,40,2,1
37,51,LA,LAND CRUISER,40,3,1
38,51,,NEW CAMRY,0,0,0
39,51,,NEW HIACE,0,0,0
40,51,"012",VIOS,37,2,1
41,51,SO,SOLUNA,37,2,1
42,51,SP,SPORT CRUISER,40,3,1
43,51,,SPORT RIDER,0,0,0
44,51,TI,TIGER,34,3,1
45,51,VE,VENTURY,39,4,1
46,51,WI,WISH,40,2,1
47,46,CA,CARAVELLE,40,4,1
48,43,S60,S60 2.0 T,37,2,1
49,43,V1,S 80,32,2,1
50,43,S 80,S 80 2.4,37,2,1
51,54,,รถพ่วง,0,0,1
52,51,"000",ไม่มีข้อมูล,32,2,0
53,50,"005","525",32,2,1
54,56,V221,S 300,37,2,1
55,50,"006","735",32,2,1
56,50,"004","318",32,2,1
57,55,"12",XZU303R-4W,34,0,0
58,55,"002","4 ล้อใหญ่",34,0,1
59,43,S80,S80,37,2,1
