No,Brand,Model Insurance,Model TLS,CC
1,BMW,BMW 320d 2.0 4 Doors,320 d Luxury,2000
2,BMW,BMW 320i  2.0 4 Doors,320 i Luxury,2000
3,BMW,BMW 520d 2.0 4 Doors,520 d,2000
9,BMW,BMW 523i 2.5 4 Doors,523 i Highline,2500
10,BMW,BMW 525d 2.0 4 Doors,525 d Luxury,2000
11,BMW,BMW 530e 2.0 4 Doors,530 e Luxury (CKD),2000
14,BMW,BMW 630d 3.0 4 Doors,630 d Grand Turismo M Sport (CBU),3000
15,BMW,BMW 730Ld 3.0 4 Doors,730 Ld Pure Excellence,3000
16,BMW,BMW 740Li 3.0 4 Doors,740 Li Pure Excellence,3000
17,BMW,BMW X1 2.0 4 Doors,X1 sDrive18i,2000
19,CARRY BOY,CARRY BOY TRAILER,รถพ่วงขนาดเล็ก TRAILER KIOSK 3.0 M,0
20,CHEVROLET,CHEVROLET AVEO 1.6 4 Doors,AVEO 1.6 LSX A/T CNG,1600
21,FORD,FORD EVEREST 2.2 4 Doors,Everest 2.2L Titanium 4x2 AT 2015,2200
22,FORD,FORD EVEREST 3.2 4 Doors,Everest 3.2L Titanium+ 4x4 AT Navi 2017,3200
23,FORD,FORD EVEREST 3.0 4 Doors,EVEREST 4X4 3.0L TCDI Auto,3000
25,FORD,FORD FIESTA 1.5 4 Doors,Fiesta 4Dr 1.5L Sport PowerShift,1500
26,FORD,FORD FIESTA 1.6 4 Doors,Fiesta 4Dr 1.6L Sport PowerShift+,1600
27,FORD,FORD FIESTA 1.5 5 Doors,Fiesta 5Dr 1.5L Sport PowerShift,1500
28,FORD,FORD FIESTA 1.6 5 Doors,Fiesta 5Dr 1.6L Sport PowerShift,1600
29,FORD,FORD FOCUS 2.0 4 Doors,Focus 4Dr 2.0L Titanium AT,2000
32,FORD,FORD FOCUS 2.0 5 Doors,Focus 5Dr 2.0L AT Sport+,2000
34,FORD,FORD RANGER 2.2 4 Doors,RANGER DBL HI-rider 2.2L Wildtrak 4x2 HR 6AT NAVI 2017,2200
35,FORD,FORD RANGER 2.0 4 Doors,RANGER Double Cab 2.0L Bi-Turbo Raptor 4x4 10AT,2000
38,FORD,FORD RANGER 3.2 4 Doors,RANGER Double Cab 3.2L 4x4 WILDTRAK 6AT,3200
41,FORD,FORD RANGER 2.2 2 Doors,RANGER OPEN CAB 2.2L 4x2 XLT 6MT,2200
43,FORD,FORD EVEREST 2.0 4 Doors,Everest 2.0L Bi-Turbo Titanium+ 4x4 10AT 2019,2000
44,HINO,HINO TRUCK ไม่เกิน 6 ตัน,4 ล้อเล็ก XZU303R-4W น้ำหนักไม่เกิน 6 ตัน,4000
45,HINO,HINO TRUCK ไม่เกิน 12 ตัน,4x2 FC9JJLA ชนิด 6 ล้อ น้ำหนักไม่เกิน 12 ตัน,5123
50,HINO,HINO TRUCK เกิน 12 ตัน,4x2 ชนิด 6 ล้อ FG8JJLA,7684
64,HINO,HINO TOUR 22 ที่นั่ง,4x2 ชนิด 6 ล้อ รุ่น RM1ESKU ขนาด 21 ที่นั่ง (VIP BUS),12913
65,HINO,HINO TOUR 32 ที่นั่ง,4x2 ชนิด 6 ล้อ รุ่น RM1ESKU ขนาด 32 ที่นั่ง,12913
66,HINO,HINO TOUR 33 ที่นั่ง,4x2 ชนิด 6 ล้อ รุ่น RM1ESKU ขนาด 32 ที่นั่ง,12913
67,HINO,HINO TOUR 40 ที่นั่ง,4x2 ชนิด 6 ล้อ รุ่น RM1ESKU ขนาด 40 ที่นั่ง,12913
68,HINO,HINO TOUR 41 ที่นั่ง,4x2 ชนิด 6 ล้อ รุ่น RM1ESKU ขนาด 40 ที่นั่ง,12913
69,HINO,HINO TOUR 45 ที่นั่ง, 4x2 ชนิด 6 ล้อ รุ่น RM1ESKU ขนาด 45 ที่นั่ง,12913
70,HINO,HINO TRUCK เกิน 25 ตัน,6x4 ชนิด 10 ล้อ Splendor รุ่น SS1EKLA-VX,12913
72,HINO,HINO TRAILER,หางพ่วง Bangkok United Mobile Shop,0
77,HONDA,HONDA ACCORD 2.0 4 Doors,ACCORD 2.0 E MODEL 2016,2000
85,HONDA,HONDA ACCORD 2.4 4 Doors,ACCORD 2.4 EL Minor Change 2016,2400
90,HONDA,HONDA CITY 1.5 4 Doors,CITY 1.5 V AT MODEL 2014,1500
91,HONDA,HONDA CIVIC 1.5 4 Doors,CIVIC 1.5 TURBO CVT MODEL 2016,1500
92,HONDA,HONDA CIVIC 1.8 4 Doors,CIVIC 1.8 E AT MODEL 2014,1800
95,HONDA,HONDA CIVIC 2.0 4 Doors,CIVIC 2.0 EL AT Navi MODEL 2013,2000
97,HONDA,HONDA CRV 2.0 5 Doors,CR-V 2.0 S 2WD MODEL 2013,2000
99,HONDA,HONDA CRV 2.4 5 Doors,CR-V 2.4 E 2WD (Gasoline) 2017,2400
