"id","Code","Color","Active"
1,,เทา,1
2,,ขาว ดำ น้ำตาล,1
3,,ดำ,1
4,,ขาว-ฟ้า,1
5,,ขาว แดง ฟ้า เหลือง,1
6,,น้ำตาล-เทา,1
7,,น้ำตาลเทา,1
8,,เหลือง,1
9,,เทา-ดำ,1
10,,น้ำตาล,1
11,,ขาว-น้ำตาล,1
12,,แดง,1
13,,น้ำเงิน-น้ำตาล,1
14,"040--",ขาว,1
15,,น้ำเงิน,1
16,,ม่วง,1
17,,ฟ้า,1
18,,ชาว,0
19,,เขียว,1
20,,ดำ-เทา,1
21,,น้ำเงิน-เทา,1
22,,น้ำตาล-ขาว,1
23,,เทา-เทา,1
24,"0000",ไม่ทราบข้อมูล,0
25,B-538M,Bluish Silver Metallic (B-538M),1
26,B-92P,Nighthawk Black Pearl (B-92P),1
27,"070",White Pearl Crystal 070,1
28,NH-630M,Silver Storn Metallic (NH-630M),1
29,NH-700M,Alabaster Silver Metallic (NH-700M),1
30,"1D4",Silver Metallic 1D4,1
31,"1F8",Medium Silver Metallic 1F8,1
32,"209",Black Mica 209,1
33,"3P1",Red Mica Metallic 3P1,1
34,"4R0",Beige Metallic 4R0,1
35,"8R3",Greyish Blue Metallic 8R3,1
36,NH636,Brilliant White Pearl,0
37,NH-737M,Polished Metal Metallic (NH-737M),1
38,YR-574M,Bold Beige Metallic (YR-574M),1
39,"472",Oyster Grey Pearl 472,1
40,"058--",ขาว,1
41,"1E7--",Silver,1
42,NH-663M,Satetellite Silver Metallic (NH-663M),1
43,YR-574M,.ทองโบลด์เบจ,0
44,ดำ,Midnight,1
45,"197",Obsidian Black 197,1
46,YR-574M,ทองโบลด์เบจ,0
47,"1",ไม่มีข้อมูล,1
48,NH-636P,Brilliant White Pearl (NH-636P),1
49,NH-578,Taffeta White (NH-578),1
50,A66,Cool Silver (M) A66,1
51,S18,Platinum Beige (M) S18,1
52,A02,Eisen Gray Mica (P) A02,1
53,X08,Pyreness Black (P) X08,1
54,S15,Glaire Beige (M) S15,1
55,A39,Medium Gray Mica (M) A39,1
56,"1C0",Silver Metallic 1C0,1
57,"040",Super White II 040,1
58,"4P9",Beige Metallic 4P9,1
59,"1E9",Dark Gray Mica Metallic 1E9,1
60,"614",Ice White 614,1
61,"3Q2",Dark Red Mica Metallic 3Q2,1
62,"2JZ",White Pear Crysta 070& Gold Metallic 593,1
63,"1E7",Silver Mica Metallic 1E7,1
64,"058",White 058,1
65,"368",Flint Grey 368,1
66,"723",Cubanite Silver 723,1
67,"775",Iridium Silver 775,1
68,"650",Calcite White 650,1
69,"426",Silver Metallic 426,1
70,"452",Black Sapphire Metallic 452,1
71,"473",Shimmer Gold  Pearl 473,1
72,"477",Electric Siver Metallic 477,1
73,"487",Ember Black Metallic 487,1
74,A08,Silver Grey  A08,1
75,"475",Black Sapphire 475,1
76,"354",Titanium Silver 354,1
77,Z4Z4,Black Metallic  Z4Z4,1
78,"3P3P",Green Metallic   3P3P,1
79,"8E",Silver Metallic  8E,1
80,D1D1,Gold Metallic  D1D1,1
81,M3M3,Blue Metallic  M3M3,1
82,"587",Champagne Mica Metallic 587,1
83,"1E7A",Silver Mica Metallic 1E7,0
84,"587-",Champaitn,0
85,-,เทาเข้ม,1
86,"8P4",Dark blue Mica Metallic 8P4,1
87,"202",Black 202,1
88,"8N8",Blue Mica 8N8,1
89,"1G3",Gray Metallic 1G3,1
90,"8T7",Blue  Mica Metallic 8T7,1
91,"1F7",Silver Metallic 1F7,1
92,"9154",Carbon Black Metallic 9154,1
93,"9744",Brilliant Silver Metallic 9744,1
94,"6S3",Dark Green Mica Metallic 6S3,1
95,W54,W 54 White Pearl,1
96,BLACK,Black,1
97,NH-731P,Crystal Black Pearl (NH-731P),1
98,D.B.M.,Dark Blue Mica Colour Clear,1
99,D.G.M.,Dark Grey Mica,1
100,"798",Sanidine Beige 798,1
101,"1D4(WISH)",Moon Silver 1D4,1
102,"8U8",Light Blue Mica Metallic 8U8,1
103,SMM,Sable Mica Metallic,1
104,BG-53M,Cerulean Blue Metallic (BG-53M),1
105,"3R0",Blackish Red Mica Metallic 3R0,1
106,"8S7",Light Blue Mica Metallic 8S7,1
107,QX1,White Pearl (QX1),1
108,"2T",Deep Black 2T,1
109,"077",White Pearl Crystal Shine 077,1
110,"300",Alpine White 300,1
111,"49U",Sterling Silver 49U,1
112,"5A7",Silky Gold Mica Metallic 5A7,1
113,"1H2",Dark Steel Mica 1H2,1
114,K23,Brilliant Silver (K23),1
115,A72,Brown A72,1
116,A6C,COOL WHITE (A6C),1
117,"18G",HIGHLIGHT SILVER (18G),1
118,"30B",TITANIUM GRAY (30B),1
119,"16W",BLACK MICA (16W),1
120,"37L",WINNING BLUE (37L),1
121,"37R",Lagoon Blue (37R),1
122,"37M",COPPER RED (37M),1
123,"37P",DESERT BRONZE (37P),1
124,DWS,Diamond White (DWS),1
125,PBM,Panther Black (PBM),1
126,MDM,Moondust Silver (MDM),1
127,ONM,Ocean Bule (ONM),1
128,CLM,Chill (CLM),1
129,TNM,Tonic (TNM),1
130,TRM,Tango Red (TRM),1
131,A2W,COOL WHITE (A2W),1
132,"36C",Metropolitan Gray (36C),1
133,A4A,TRUE RED (A4A),1
134,"39A",AURORA BLUE (39A),1
135,"33J",CHILLI ORANGE (33J),1
136,"34N",PHANTOM PURPLE (34N),1
137,"32C",PHANTOM BLUE (32C),1
138,"37Y",GLOAMING SILVER (37Y),1
139,"18G.",HIGHLIGHT SILVER M (18G.),0
140,"2T",Deep Black  2T,0
141,"218",Attitude Black Mica 218,1
142,HY,Hyper Metallic,1
143,MG,Magnetic Grey,1
144,SB,Soft Beige,1
145,PB5,Timeless Black PB5,1
146,G42,Black Star (G42),1
147,"33Y",Icy Blue (33Y),1
148,"8W1",True Blue Mica Metallic 8W1,1
149,"154",Carbon Black Metallic 154,1
150,"34E",SPARKLING GOLD (34E),1
