id,type,name,is_expressway
1,ทางพิเศษเฉลิมมหานคร,ด่านฯ ดินแดง,1
2,ทางพิเศษเฉลิมมหานคร,ด่านฯ เพชรบุรี,1
3,ทางพิเศษเฉลิมมหานคร,ด่านฯ สุขุมวิท,1
4,ทางพิเศษเฉลิมมหานคร,ด่านฯ พระรามที่สี่ 1,1
5,ทางพิเศษเฉลิมมหานคร,ด่านฯ เลียบแม่น้ำ,1
6,ทางพิเศษเฉลิมมหานคร,ด่านฯ ท่าเรือ 1,1
7,ทางพิเศษเฉลิมมหานคร,ด่านฯ ท่าเรือ 2,1
8,ทางพิเศษเฉลิมมหานคร,ด่านฯ อาจณรงค์,1
9,ทางพิเศษเฉลิมมหานคร,ด่านฯ สุขุมวิท 62,1
10,ทางพิเศษเฉลิมมหานคร,ด่านฯ บางนา,1
11,ทางพิเศษเฉลิมมหานคร,ด่านฯ สาธุประดิษฐ์ 1,1
12,ทางพิเศษเฉลิมมหานคร,ด่านฯ สาธุประดิษฐ์ 2,1
13,ทางพิเศษเฉลิมมหานคร,ด่านฯ สุขสวัสดิ์,1
14,ทางพิเศษเฉลิมมหานคร,ด่านฯ ดาวคะนอง,1
15,ทางพิเศษเฉลิมมหานคร,ด่านฯ พระรามที่สี่ 2,1
16,ทางพิเศษเฉลิมมหานคร,ด่านฯ ดินแดง 1,1
17,ทางพิเศษเฉลิมมหานคร,ด่านฯ บางจาก,1
18,ทางพิเศษเฉลิมมหานคร,ด่านฯ อาจณรงค์ 1 (บางนา),1
19,ทางพิเศษเฉลิมมหานคร,ด่านฯ อาจณรงค์ 1 (ท่าเรือ),1
20,ทางพิเศษเฉลิมมหานคร,ด่านฯ อาจณรงค์ 3,1
21,ทางพิเศษศรีรัช,ด่านฯ อโศก 1,1
22,ทางพิเศษศรีรัช,ด่านฯ อโศก 2,1
23,ทางพิเศษศรีรัช,ด่านฯ พหลโยธิน 1,1
24,ทางพิเศษศรีรัช,ด่านฯ พหลโยธิน 2,1
25,ทางพิเศษศรีรัช,ด่านฯ คลองประปา 1,1
26,ทางพิเศษศรีรัช,ด่านฯ คลองประปา 2,1
27,ทางพิเศษศรีรัช,ด่านฯ ย่านพหลโยธิน,1
28,ทางพิเศษศรีรัช,ด่านฯ บางซื่อ,1
29,ทางพิเศษศรีรัช,ด่านฯ รัชดาภิเษก,1
30,ทางพิเศษศรีรัช,ด่านฯ ประชาชื่น (ขาเข้า-ในเมือง),1
