"id","Code","InsureName","InsureEng","Tel","Fax","Address","ContactName","ContactPos","ContactTel","Email","Web","Comment","Active"
23,"01",บริษัท อลิอันซ์ ซี.พี. ประกันภัย จำกัด (มหาชน),"Allianz C.P. General Insurance Public Co., Ltd.","0-2638-9000","0-2638-9030","313 อาคาร ซี.พี. ทาวเวอร์ ชั้น 19 ถ.สีลม แขวงสีลม
เขตบางรัก กรุงเทพมหานคร 10500",คุณศิริพร ธนชัยพาณิช,เจ้าหน้าที่,"02-638-9222",Siriporn.t@allianzcp.com,www.allianzcp.com,"ศูนย์รับแจ้งอุบัติเหตุ โทร. 0-2638-9333 , กรณีติดต่อไม่ได้ ติดต่อคุณวิธาน 0-2638-9331 , 08-9924-4211 , คุณสุรเชษฐ์ 0-2638-9395 , แปรสภาพเป็น บมจ วันที่ 14/11/2012",1
24,"02",บริษัท เทเวศประกันภัย จำกัด (มหาชน),"The Deves Insurance Public Co., Ltd.","0-2670-4444","0-2280-1439","97 และ 99 อาคารเทเวศประกันภัย ถนนราชดำเนินกลาง แขวงบวรนิเวศ เขตพระนคร กรุงเทพมหานคร 10200",คุณจันททิพา ครามานนท์ (บางซื่อ อาคาร31),"","0-2586-1106",dvsins@deves.co.th,www.deves.co.th,"ศูนย์รับแจ้งอุบัติเหตุ โทร. 0-2670-4444 , 0-2280-0985 - 96 , Deductible ติดต่อคุณสายทอง ต่อ 8653",1
25,"03",บริษัท ทิพยประกันภัย จำกัด (มหาชน),"Dhipaya Insurance Public Co,Ltd","0-2239-2200 , 0-2248-0059 ,  0-2643-2900","0-2248-7850","63/2 ถนนพระราม 9 แขวงห้วยขวาง เขตห้วยขวาง กทม. 10310",คุณพรพิสิทธิ์ สุวรรณศรี,"","0-2583-7588 Fax. 0-2583-7204",unchuleei@dhipaya.co.th,www.dhipaya.co.th,"สายด่วนอุบัติเหตุ 0-2643-2121 , สาขา พาราไดซ์พาร์ค ชั้น 2 โทร0-2787-2127",1
26,"04",บริษัท ธนชาตประกันภัย จำกัด (มหาชน),"Thanachart Insurance Public Co., Ltd.","0-2308-9300","0-2308-9333",เลขที่ 999/1 เดอะไนนท์ทาวเวอร์ ถนนพระราม 9 แขวงสวนหลวง เขตสวนหลวง กทม.10250,คุณชุลีพร อานมณี,"","0-2308-9300 Ext. 2859",Chuleephorn.Anm@thanachart.co.th,www.thanachartinsurance.co.th,"ให้บริการในส่วนลูกค้ากลุ่มธนาคารธนชาต จำกัด (มหาชน) , สายด่วนแจ้งอุบัติเหตุโทร. 0-2662-8999 , แปรสภาพเป็น บมจ วันที่ 09/11/2012 , ติดต่อเรื่องทำประกัน , กรมธรรม์ คุณกิตติศักดิ์ ต่อ 2795 , 08-6547-9211 , ติดตามค่าเบี้ย คุณสุลีพร แก้วศรีหมอก ส่วนควบคุมค่าเบี้ยและชำระบัญชี 0-2308-9500 ต่อ 2549 Suleeporn.Kaw@thanachart.co.th",1
27,"05",บริษัท เอเชียประกันภัย 1950 จำกัด (มหาชน),"ASIA INSURANCE 1950 Public Co., Ltd.","0-2254-9977","0-2254-7400","183 อาคารรีเจ้นท์เฮ้าส์ ชั้น 13 ถ.ราชดำริ แขวงลุมพินี เขตปทุมวัน กรุงเทพฯ 10330",คุณจุฑารัตน์ องค์สกุลทอง,ผู้จัดการฝ่ายธุรกิจสถาบัน,"08-4439-1494 , 0-2254-9977  ต่อ 1901",jutharato@aii.co.th,"","ผู้ประสานงาน คุณอัฏฐพล ปุญญพัฒน์ตรีภพ โทร.0-2254-9977  ต่อ 1902 , 08-0628-7799 ** สายด่วนอุบัติเหตุ 02-869-3333 , สนญ. 02-254-9977",1
28,"06",บริษัท แอลเอ็มจี ประกันภัย จำกัด (มหาชน),"LMG Insurance Public Co., Ltd.","0-2661-6000","0-2665-2741","ชั้น 14, 15, 17 และ 19 อาคารจัสมินซิตี้ เลขที่ 2 ซอยสุขุมวิท 23 ถนนสุขุมวิท แขวงคลองเตยเหนือ  เขตวัฒนา กรุงเทพๆ 10110",คุณภูมิเพชร บุญสกุลกิจ,ผู้ช่วยผู้อำนวยการ ฝ่ายรับประกันภัยรถยนต์,"",phoomphet.b@lmginsurance.co.th,"","",1
29,-,อื่นๆ,"","","","","","","","","","",1
30,"07",บริษัท MSIG ประกันภัย (ประเทศไทย) จำกัด (มหาชน),"MSIG Insurance (Thailand)Public Co., Ltd.","0-2788-8888","",เลขที่ 1908 ถ.เพชรบุรี แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310,ผ่าน บริษัท แมกซี่ อินชัวรันส์ โบรกเกอร์ จำกัด,"","","","","",1
31,"08",บมจ.โตเกียวมารีนประกันภัย(ประเทศไทย),"TOKIO MARINE INSURANCE( THAILAND) PUBLIC CO., LTD.","0-2686-8888","0-2686-8601","เลขที่ 1 อาคารเอ็มไพร์ทาวเวอร์ ชั้น 40 ห้อง 4001-4003,4007-4009,4012 ถนนสาทรใต้ แขวงยานนาวา เขตสาทร กรุงเทพฯ 10120",คุณศิราณี (สยามคอสมอส),"","0-2257-4152",siranee-y@siamcosmos.co.th,"","แจ้งอุบัติเหตุ โทร.0-2686-8616 กด 4 , ติดต่อทำประกันผ่าน โบรกเกอร์ สยามคอสมอส",1
32,"09",บริษัท ไอโออิ กรุงเทพ ประกันภัย จำกัด (มหาชน),Aioi Bangkok Insurance Public Company Limited,"0-2620-8000","",เลขที่ 25 อาคารกรุงเทพประกันภัย ชั้นที่ 22 และ ชั้นที่ 23 ยูนิต 1 ถนนสาทรใต้ แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพฯ 10120,คุณชนัญญา บุรารักษ์,เจ้าหน้าที่การตลาด,"0-2620-8000 ต่อ 8707","","","ทำประกันผ่าน บริษัท แอสเซ็ท แอสชัวแร็นซ์ โบรเคอร์เรจ จำกัด คุณพรรณี เกิดสุวรรณ ผู้จัดการทั่วไป โทร.0-2687-5372 , 08-1820-1299 e-mai : punnee@aab.co.th",1
33,"10",บริษัท วิริยะประกันภัย จำกัด (มหาชน),"The Viriyah  Insurance Public Co., Ltd.","","","","","","","","","",1
34,"11",บริษัท อลิอันซ์ ประกันภัย จำกัด (มหาชน),"Allianz General Insurance Public Co., Ltd.","0-2638-9000","0-2638-9030","313 อาคาร ซี.พี. ทาวเวอร์ ชั้น 19 ถ.สีลม แขวงสีลม
เขตบางรัก กรุงเทพมหานคร 10500",ผ่าน AAB,"","","","","ศูนย์รับแจ้งอุบัติเหตุ โทร. 0-2638-9333 , กรณีติดต่อไม่ได้ ติดต่อคุณวิธาน 0-2638-9331 , 08-9924-4211",1
35,"12",บริษัท คิวบีอีประกันภัย (ประเทศไทย) จำกัด,"QBE Insurance (Thailand)Public Co., Ltd.","0-2238-0999","0-2238-0836",เลขที่ 968 อาคารอื้อจือเหลียง ชั้น 15 ถนนพระราม 4 แขวงสีลม เขตบางรัก กรุงเทพมหานครฯ 10500,ผ่าน AAB,"","",info.thai@qbe.com,http://www.qbe.co.th,เปลี่ยนชื่อไปเป็น บริษัท คิงไว ประกันภัย จำกัด (มหาชน),1
36,"13",บริษัท สินทรัพย์ประกันภัย จำกัด (มหาชน),"Assets Insurance Public Co., Ltd","0-2792-5555","02-541-5170","222 ถนนรัชดาภิเษก 18 ถนนรัชดาภิเษก แขวงห้วยขวาง เขตห้วยขวาง กทม. 10310","","","","","","",1
37,"14",บริษัท ประกันคุ้มภัย จํากัด (มหาชน),"Safety Insurance Public Co., Ltd","0-2257-8000","0-2253-3701,0-2253-4222","26/5-6 อาคารวรกานต์ ถนนชิดลม แขวงลุมพินี เขตปทุมวัน กรุงเทพฯ 10330","","","","","",ผ่าน AAB,1
38,"15",บริษัท คิงไว ประกันภัย จำกัด (มหาชน),"King Wai Insurance Public Co., Ltd.","","",เลขที่ 968 อาคารอื้อจือเหลียง ชั้น 15 ถนนพระราม 4 แขวงสีลม เขตบางรัก กรุงเทพมหานครฯ 10500,ผ่าน AAB,"","","","",เปลี่ยนชื่อจาก บริษัท คิวบีอีประกันภัย (ประเทศไทย) จำกัด,1
39,"16",บริษัท อลิอันซ์ อยุธยา ประกันภัย จำกัด (มหาชน),"Allianz Ayudhya General Insurance Public Co., Ltd.","0-2638-9000","0-2638-9030",เลขที่ 898 อาคารเพลินจิตทาวเวอร์ ชั้น1 โซน B ชั้น 7 โซน B ชั้น 8 โซน A และ B ชั้น 9 โซน A2 และ B2 ชั้น 18 โซน A ถนนเพลินจิต แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,ผ่าน AAB,"","","","","",1
