"id","Pos"
15,พนักงานลูกค้าสัมพันธ์
20,พนักงานรับ-ส่ง รถเช่า
42,พนักงานขับรถเช่า
65,กรรมการบริหาร
67,ผู้จัดการทั่วไป
73,พนักงานบริการลูกค้า
76,เจ้าหน้าที่ฝ่ายจัดซื้อ
79,ที่ปรึกษา
81,ผู้อำนวยการฝ่ายบัญชีและการเงิน
84,เจ้าหน้าที่ฝ่ายประกันภัย
85,เจ้าหน้าที่ฝ่ายประกันภัยอาวุโส
96,ผู้ช่วยผู้อำนวยการ/หัวหน้าฝ่ายขายและการตลาด
99,เจ้าหน้าที่ฝ่ายขายและการตลาด
103,เจ้าหน้าที่ฝ่ายบุคคล/พนักงานขับรถ
104,เจ้าหน้าที่ฝ่ายบุคคล/สำนักงาน
106,ช่างเทคนิค
107,ผู้ช่วยผู้อำนวยการ/หัวหน้าฝ่ายบริหารการซ่อมบำรุง
108,เจ้าหน้าที่
109,ผู้ช่วยผู้อำนวยการ / หัวหน้าฝ่ายบริหารกลาง
110,ผู้ช่วยผู้อำนวยการ / หัวหน้าฝ่ายปฎิบัติการการเงิน
111,เจ้าหน้าที่ฝ่ายปฎิบัติการการเงินอาวุโส
112,เจ้าหน้าที่ฝ่ายปฎิบัติการการเงิน
113,ผู้ช่วยผู้อำนวยการ/หัวหน้าฝ่ายจัดซื้อและจำหน่ายฯ
114,Expert
115,Specialist
116,ผู้ช่วยผู้อำนวยการ/หัวหน้าฝ่ายตรวจสอบและคลังรถยนต์
117,President
118,Supervisor
119,Manager
120,พนักงานขับรถประจำอาคารทรูทาวเวอร์
121,ผู้ช่วยผู้อำนวยการฝ่ายการตลาดและการขาย
