"ClassTime_ID","DBCarClass_ID","Period_ID"
3529,100,1
3530,100,3
3531,100,5
3532,100,7
3533,100,9
3534,100,11
3535,100,13
3536,100,15
3537,100,17
3538,100,19
3539,100,21
3540,100,22
3541,100,23
3542,100,24
3543,100,25
3544,100,26
3545,100,27
3546,100,29
3547,100,31
3548,100,30
3549,100,32
3550,100,33
3551,100,34
3552,100,35
3553,100,36
3554,100,37
5961,152,1
5962,152,3
5963,152,5
5964,152,7
5965,152,9
5966,152,11
5967,152,13
5968,152,15
5969,152,17
5970,152,19
5971,152,21
5972,152,22
5973,152,23
5974,152,24
5975,152,25
5976,152,26
5977,152,27
5978,152,29
5979,152,30
5980,152,31
5981,152,32
7856,101,1
7857,101,3
7858,101,5
7859,101,7
7860,101,9
7861,101,11
7862,101,13
7863,101,15
7864,101,17
7865,101,19
7866,101,21
7867,101,22
7868,101,23
7869,101,24
7870,101,25
7871,101,26
7872,101,27
7873,101,29
7874,101,31
7875,101,30
7876,101,32
7877,101,33
7878,101,34
7879,101,35
7880,101,36
7881,101,37
11000,116,1
11001,116,3
11002,116,5
11003,116,7
11004,116,9
11005,116,11
11006,116,13
11007,116,15
11008,116,17
11009,116,19
11010,116,21
11011,116,22
11012,116,23
11013,116,24
11014,116,25
11015,116,26
11016,116,27
11017,116,29
11018,116,30
11019,116,31
11020,116,33
11021,116,32
11022,116,35
11023,116,34
11024,116,36
11025,116,37
11026,116,38
11027,116,39
11028,116,40
11029,116,41
11030,116,42
11031,116,43
11032,116,44
11033,116,45
11034,116,46
11035,116,47
11036,116,48
11037,116,49
11038,116,50
11039,116,51
11040,116,52
11369,18,15
14653,161,1
14654,161,3
14655,161,5
14656,161,7
14657,161,9
14658,161,11
14659,161,13
14660,161,15
14661,161,17
14662,161,19
14663,161,21
14664,161,22
14665,161,23
14666,161,24
14667,161,25
14668,161,26
14669,161,27
14670,161,29
14671,161,30
14672,161,31
14673,161,33
14674,161,32
14675,161,35
14676,161,34
14677,161,36
14678,161,37
14679,161,38
14680,161,39
14681,161,40
14682,161,41
14683,161,42
