"Period_ID","Period_KM","Period_KMW","Period_Month","Period_Active"
1,1000,"1,000",1,1
2,5000,"5,000",3,1
3,10000,"10,000",6,1
4,15000,"15,000",9,1
5,20000,"20,000",12,1
6,25000,"25,000",15,1
7,30000,"30,000",18,1
8,35000,"35,000",21,1
9,40000,"40,000",24,1
10,45000,"45,000",27,1
11,50000,"50,000",30,1
12,55000,"55,000",33,1
13,60000,"60,000",36,1
14,65000,"65,000",39,1
15,70000,"70,000",42,1
16,75000,"75,000",45,1
17,80000,"80,000",48,1
18,85000,"85,000",51,1
19,90000,"90,000",54,1
20,95000,"95,000",57,1
21,100000,"100,000",60,1
22,110000,"110,000",63,0
23,120000,"120,000",66,0
24,130000,"130,000",69,0
25,140000,"140,000",72,0
26,150000,"150,000",75,0
27,160000,"160,000",78,0
28,180000,"180,000",81,0
29,170000,"170,000",81,0
30,180000,"180,000",84,0
31,190000,"190,000",87,0
32,200000,"200,000",90,0
33,210000,"210,000",93,0
34,220000,"220,000",96,0
35,230000,"230,000",99,0
36,240000,"240,000",102,0
37,250000,"250,000",105,0
38,260000,"260,000",108,0
39,270000,"270,000",111,0
40,280000,"280,000",114,0
41,290000,"290,000",117,0
42,300000,"300,000",120,0
43,310000,"310,000",123,0
44,320000,"320,000",126,0
45,330000,"330,000",129,0
46,340000,"340,000",132,0
47,350000,"350,000",135,0
48,360000,"360,000",138,0
49,370000,"370,000",141,0
50,380000,"380,000",144,0
51,390000,"390,000",147,0
52,400000,"400,000",150,0
53,6000,"6,000",3,1
54,110000,"110,000",66,1
55,120000,"120,000",72,1
56,130000,"130,000",78,1
57,140000,"140,000",84,1
58,150000,"150,000",90,1
59,160000,"160,000",96,1
60,170000,"170,000",102,1
61,180000,"180,000",108,1
62,190000,"190,000",114,1
63,200000,"200,000",120,1
64,210000,"210,000",126,1
65,220000,"220,000",132,1
66,230000,"230,000",138,1
67,240000,"240,000",144,1
68,250000,"250,000",150,1
69,260000,"260,000",156,1
70,270000,"270,000",162,1
71,280000,"280,000",168,1
72,290000,"290,000",174,1
73,300000,"300,000",180,1
74,310000,"310,000",186,1
75,320000,"320,000",192,1
76,330000,"330,000",198,1
77,340000,"340,000",204,1
78,350000,"350,000",210,1
79,360000,"360,000",216,1
80,370000,"370,000",222,1
81,380000,"380,000",228,1
82,390000,"390,000",234,1
83,400000,"400,000",240,1
84,410000,"410,000",246,1
85,420000,"420,000",252,1
86,430000,"430,000",258,1
87,440000,"440,000",264,1
88,450000,"450,000",270,1
89,105000,"105,000",60,1
90,135000,"135,000",81,1
91,175000,"175,000",105,1
92,245000,"245,000",147,1
93,315000,"315,000",189,1
94,385000,"385,000",231,1
95,430,"430",261,1
96,165000,"165,000",99,1
97,195000,"195,000",117,1
98,460000,"460,000",276,1
99,470000,"470,000",282,1
100,480000,"480,000",288,1
101,490000,"490,000",295,1
102,500000,"500,000",301,1
103,510000,"510,000",307,1
104,520000,"520,000",313,1
105,530000,"530,000",319,1
106,540000,"540,000",325,1
107,550000,"550,000",331,1
108,225000,"225,000",135,1
109,255000,"255,000",153,1
110,285000,"285,000",171,1
111,560000,"560,000",337,1
112,570000,"570,000",343,1
113,580000,"580,000",349,1
114,590000,"590,000",355,1
115,600000,"600,000",361,1
116,125000,"125,000",75,1
117,155000,"155,000",93,1
118,185000,"185,000",110,1
119,215000,"215,000",129,1
120,275000,"275,000",165,1
121,305000,"305,000",183,1
122,335000,"335,000",201,1
123,365000,"365,000",219,1
124,395000,"395,000",237,1
125,610000,"610,000",367,1
126,600000,"600,000",360,0
127,620000,"620,000",373,1
128,630000,"630,000",379,1
129,640000,"640,000",385,1
130,650000,"650,000",391,1
131,660000,"660,000",397,1
132,670000,"670,000",403,1
133,680000,"680,000",409,1
134,690000,"690,000",415,1
135,700000,"700,000",421,1
136,710000,"710,000",427,1
137,720000,"720,000",433,1
138,730000,"730,000",439,1
139,740000,"740,000",445,1
140,750000,"750,000",451,1
141,760000,"760,000",457,1
142,770000,"770,000",463,1
143,780000,"780,000",469,1
144,790000,"790,000",475,1
145,800000,"800,000",481,1
146,820000,"820,000",487,0
147,820000,"820,000",493,1
148,840000,"840,000",505,1
149,860000,"860,000",517,1
150,880000,"880,000",529,1
151,900000,"900,000",541,1
152,145000,"145,000",87,1
153,205000,"205,000",123,1
154,265000,"265,000",159,1
155,325000,"325,000",195,1
156,345000,"345,000",207,1
157,405000,"405,000",243,1
158,425000,"425,000",255,1
159,445000,"445,000",267,1
160,465000,"465,000",279,1
161,485000,"485,000",291,1
162,505000,"505,000",304,1
163,525000,"525,000",316,1
164,545000,"545,000",328,1
165,565000,"565,000",340,1
166,585000,"585,000",352,1
167,606000,"606,000",364,0
168,605000,"605,000",364,1
